step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix,P_loss_liq,Q_release_liq,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
start,start,1.0115850123442856,168.91769610098964,40.992968589605084,12.00818743584203,0.002597392691536193,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,1.0329019630455027,168.91692466369454,40.3078779791212,11.760363393736359,0.002597392691536193,gas,1.0,0.7714372951013502,0.7714372951013502,1.5456936492058542,0.6850906104838828,0.14673875328470826,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
1,0.075,1.053376631720625,168.9161373931798,39.665917072531784,11.531775121759528,0.002597392691536192,gas,1.0,1.5587078098324127,1.5587078098324127,2.9913234596436267,0.6419609065894178,0.14634416692267588,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
2,0.15,1.0729601942300127,168.91533492170433,39.06432770585684,11.321298311757046,0.0025973926915361925,gas,1.0,2.361179285333492,2.361179285333492,4.343625181886239,0.6015893666749434,0.1459728896243665,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
3,0.22499999999999998,1.091773247438221,168.91451792208483,38.50053418720796,11.126213674883182,0.0025973926915361925,gas,1.0,3.1781789048109204,3.1781789048109204,5.608865244794384,0.5637935186488789,0.14562501196394442,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
4,0.3,1.10976385475747,168.9136869645367,37.972110911240804,10.945844364496311,0.002597392691536193,gas,1.0,4.00913645295077,4.00913645295077,6.792887191020808,0.5284232759671568,0.1453022161952353,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
5,0.375,1.1269366879536602,168.9128426616814,37.47682010937797,10.779046032813383,0.002597392691536193,gas,1.0,4.853439308266388,4.853439308266388,7.9010661871775945,0.49529080186283636,0.1449964805989109,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
6,0.44999999999999996,1.1433010449967078,168.91198563443453,37.01254273499694,10.62476282049907,0.002597392691536193,gas,1.0,5.710466555116,5.710466555116,8.938443162308449,0.4642773743810267,0.14471228032831043,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
7,0.525,1.1589012240416816,168.91111647726981,36.57731551857074,10.481740965942633,0.002597392691536193,gas,1.0,6.579623719822848,6.579623719822848,9.90968017596463,0.435227216426199,0.14444494161329288,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
8,0.6,1.1738591907581857,168.91023576543142,36.16930247670115,10.348176792544356,0.002597392691536193,gas,1.0,7.460335558222141,7.460335558222141,10.819111383342323,0.4080130418695944,0.1441924652614639,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
9,0.6749999999999999,1.1880279205936173,168.9093439839213,35.7867554558639,10.224761745876444,0.002597392691536193,gas,1.0,8.352117068337975,8.352117068337975,11.670839106322777,0.3825470208372508,0.14396535843632624,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
10,0.75,1.2015150212798897,168.9084417147333,35.42808747024418,10.109987990478125,0.0025973926915361925,gas,1.0,9.254386256361613,9.254386256361613,12.468570363330844,0.3586679856197179,0.14374318555836235,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
11,0.825,1.214309018727843,168.90752945381752,35.09178196020093,10.003468843741881,0.0025973926915361925,gas,1.0,10.166647172125522,10.166647172125522,13.21584482943846,0.33630551004324616,0.1435403447924038,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
12,0.8999999999999999,1.226430246610001,168.90660772991174,34.776436795256075,9.904601153710406,0.0025973926915361925,gas,1.0,11.088371077901684,11.088371077901684,13.915908652374176,0.3153451649448584,0.14334561526530995,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
13,0.975,1.2379637506619723,168.9056770419529,34.48072522225743,9.8123248188998,0.0025973926915361925,gas,1.0,12.019059036741965,12.019059036741965,14.571827791622564,0.29571157299864126,0.14316624705123385,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
14,1.05,1.248905525586593,168.904737824519,34.20341338231731,9.726358148518353,0.002597392691536193,gas,1.0,12.958276470657438,12.958276470657438,15.186447593632085,0.27731183994012554,0.14299862389539916,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
15,1.125,1.2592637385639265,168.90379051545304,33.94335362082302,9.646352915213477,0.0025973926915361925,gas,1.0,13.905585536616854,13.905585536616854,15.76240516105843,0.2600597614942899,0.14283743846577154,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
16,1.2,1.2690810279493832,168.90283554664063,33.699448275802126,9.571731172395436,0.002597392691536193,gas,1.0,14.860554349026643,14.860554349026643,16.302203881591517,0.24390534502089167,0.14269274065410373,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
17,1.275,1.2783738746344036,168.90187331791233,33.47070086237983,9.5021516604387,0.0025973926915361925,gas,1.0,15.822783077310305,15.822783077310305,16.80813102894223,0.22874741342229754,0.14255064410792312,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
18,1.3499999999999999,1.2871645367607951,168.90090421687987,33.2561487514829,9.437256922947833,0.002597392691536193,gas,1.0,16.791884109785315,16.791884109785315,17.28237049271073,0.21455211089693194,0.1424239343288841,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
19,1.425,1.295467044280411,168.89992861459697,33.05491522931197,9.376774568793588,0.002597392691536193,gas,1.0,17.767486392665887,17.767486392665887,17.726914428164992,0.2012335221709236,0.14229749985241125,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
20,1.5,1.303328555719527,168.89894687391143,32.866157925574385,9.320215061821159,0.0025973926915361925,gas,1.0,18.749227078224067,18.749227078224067,18.143674655871273,0.1887573037375887,0.14218711805016684,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
21,1.575,1.310748798102716,168.89795933764407,32.68910288577791,9.267452659961805,0.0025973926915361925,gas,1.0,19.7367633455724,19.7367633455724,18.53440169848909,0.1770550397964712,0.14208009885022224,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
22,1.65,1.317749899769018,168.89696631214207,32.523025041326434,9.218215412232622,0.002597392691536193,gas,1.0,20.72978884758777,20.72978884758777,18.900731802449116,0.166077844451479,0.1419750665671128,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
