step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas
start,start,0.708675939706522,168.96277122177244,41.65784474153844,12.252137896615366,0.005194785383072386,,,,,,,,,,
0,0.0,0.7088326057358226,168.96232928498765,41.65107482936463,12.24942993174584,0.005194785383072386,gas,1.0,0.4419367848022375,0.4419367848022375,0.030605285853289737,0.006769912173808734,0.33946609203164313,106.45668685078911,377.14929152723704,1.2421857352294041
1,0.15,0.7089563069604203,168.96188725691604,41.644308691765104,12.24729260752952,0.005194785383072386,gas,1.0,0.8839648564171512,0.8839648564171512,0.06119279382569876,0.0067661375995271555,0.33945911522345246,106.45668685078911,377.14929152723704,1.2421857352294041
2,0.3,0.7090879693767888,168.96144515272246,41.63754637040671,12.245018548162673,0.005194785383072385,gas,1.0,1.3260690500028431,1.3260690500028431,0.09176253668277837,0.006762321358394274,0.33945623148034465,106.45668685078911,377.14929152723704,1.2421857352294041
3,0.44999999999999996,0.709244553162288,168.96100296874903,41.63078787170116,12.242315148680465,0.005194785383072386,gas,1.0,1.7682530234160367,1.7682530234160367,0.12231452402329801,0.006758498705551119,0.3394527410697867,106.45668685078911,377.14929152723704,1.2421857352294041
4,0.6,0.7094011175332205,168.96056069353557,41.624033193978505,12.239613277591403,0.005194785383072386,gas,1.0,2.210528236872051,2.210528236872051,0.15284876420182508,0.006754677722653923,0.3394468303500298,106.45668685078911,377.14929152723704,1.2421857352294041
5,0.75,0.7095576635110145,168.96011832143756,41.61728229011652,12.236912916046606,0.005194785383072386,gas,1.0,2.6529003348841798,2.6529003348841798,0.18336526178061488,0.006750903861984625,0.33943304776709027,106.45668685078911,377.14929152723704,1.2421857352294041
6,0.8999999999999999,0.7097141907211042,168.95967585171977,41.61053517323518,12.234214069294065,0.005194785383072386,gas,1.0,3.0953700526733883,3.0953700526733883,0.21386402625522158,0.006747116881342663,0.33941865756226175,106.45668685078911,377.14929152723704,1.2421857352294041
7,1.05,0.7098346706342251,168.95923328439395,41.603791872502086,12.23213756175062,0.005194785383072386,gas,1.0,3.537937378510833,3.537937378510833,0.24434506802077016,0.006743300733091928,0.3394049042365011,106.45668685078911,377.14929152723704,1.2421857352294041
8,1.2,0.7099691306713547,168.95879064782707,41.59705233682922,12.229820934731679,0.005194785383072386,gas,1.0,3.9805739453877322,3.9805739453877322,0.27480840145450713,0.006739535672863894,0.33939741394579126,106.45668685078911,377.14929152723704,1.2421857352294041
9,1.3499999999999999,0.7101255755255209,168.95834793101145,41.59031658255367,12.227126633021456,0.005194785383072387,gas,1.0,4.42329076101305,4.42329076101305,0.30525403829361886,0.006735754275553063,0.33939258538383926,106.45668685078911,377.14929152723704,1.2421857352294041
10,1.5,0.7102820008306736,168.9579051166412,41.58358463660659,12.224433854642621,0.005194785383072386,gas,1.0,4.86610513125197,4.86610513125197,0.3356819903601553,0.006731945947080931,0.3393904834967992,106.45668685078911,377.14929152723704,1.2421857352294041
11,1.65,0.7104201349778226,168.9574622047285,41.576856449195134,12.222056934758527,0.005194785383072387,gas,1.0,5.309017043939093,5.309017043939093,0.366092259283716,0.006728187411454201,0.33937630601094054,106.45668685078911,377.14929152723704,1.2421857352294041
12,1.7999999999999998,0.710537413384174,168.9570192096636,41.570132039695864,12.220039611908744,0.005194785383072386,gas,1.0,5.752012108860072,5.752012108860072,0.3964848574089236,0.006724409499270223,0.3393656890606012,106.45668685078911,377.14929152723704,1.2421857352294041
13,1.95,0.7106929882669368,168.95657614785267,41.563411433083274,12.217364573233302,0.005194785383072386,gas,1.0,6.195073919778224,6.195073919778224,0.4268597979396729,0.006720606612589108,0.3393598056970141,106.45668685078911,377.14929152723704,1.2421857352294041
14,2.1,0.7108493112082682,168.95613298915708,41.55669462849721,12.214677851398882,0.005194785383072386,gas,1.0,6.638232615368906,6.638232615368906,0.457217085560399,0.006716804586062608,0.33934625850208006,106.45668685078911,377.14929152723704,1.2421857352294041
15,2.25,0.7110055079015476,168.95568973612504,41.54998159791137,12.211994479373407,0.005194785383072386,gas,1.0,7.081485647417139,7.081485647417139,0.48755673246542686,0.006713030585842716,0.33933589575974626,106.45668685078911,377.14929152723704,1.2421857352294041
16,2.4,0.7111227154178459,168.95524639205726,41.54327231266922,12.20998169380076,0.005194785383072386,gas,1.0,7.524829715199303,7.524829715199303,0.5178787509586457,0.0067092852421524185,0.33932898736165834,106.45668685078911,377.14929152723704,1.2421857352294041
17,2.55,0.7112598976262905,168.95480297490528,41.536566821689064,12.207626728675615,0.005194785383072386,gas,1.0,7.968246867181733,7.968246867181733,0.5481831542049044,0.006705490980152717,0.33932689385198767,106.45668685078911,377.14929152723704,1.2421857352294041
18,2.6999999999999997,0.7114161184783327,168.95435947221398,41.529865097482116,12.204946038992835,0.005194785383072386,gas,1.0,8.41174955846509,8.41174955846509,0.57846994770405,0.006701724206948256,0.3393183377836425,106.45668685078911,377.14929152723704,1.2421857352294041
19,2.85,0.7115723206944377,168.9539158722402,41.52316711484815,12.202266845939246,0.005194785383072386,gas,1.0,8.855349532241235,8.855349532241235,0.6087391372276463,0.006697982633966149,0.3393038070680488,106.45668685078911,377.14929152723704,1.2421857352294041
20,3.0,0.7117079265889447,168.95347218123723,41.516472921050024,12.199941876314995,0.005194785383072386,gas,1.0,9.299040535232052,9.299040535232052,0.6389907385896083,0.006694193798125525,0.33929794512856065,106.45668685078911,377.14929152723704,1.2421857352294041
21,3.15,0.7118263051077659,168.95302840869172,41.509782487643804,12.197912995057504,0.005194785383072386,gas,1.0,9.742813080723863,9.742813080723863,0.6692247585341453,0.006690433406220109,0.3392874317713298,106.45668685078911,377.14929152723704,1.2421857352294041
22,3.3,0.7119824239699764,168.95258456233347,41.50309579063406,12.19523831625362,0.005194785383072386,gas,1.0,10.186659438972129,10.186659438972129,0.6994412040899779,0.006686697009740783,0.33927278093931795,106.45668685078911,377.14929152723704,1.2421857352294041
23,3.4499999999999997,0.7121385229213226,168.95214061863012,41.49641287764973,12.192565151059892,0.005194785383072386,gas,1.0,10.630603142315522,10.630603142315522,0.7296400857778294,0.006682912984331324,0.339259147431774,106.45668685078911,377.14929152723704,1.2421857352294041
24,3.5999999999999996,0.7122946019748653,168.95169658100843,41.48973374508381,12.18989349803352,0.005194785383072386,gas,1.0,11.074640764010837,11.074640764010837,0.7598214206853785,0.006679132565921009,0.33925588993845024,106.45668685078911,377.14929152723704,1.2421857352294041
25,3.75,0.7124506611834581,168.95125245217272,41.483058387631786,12.187223355052708,0.005194785383072386,gas,1.0,11.518769599730149,11.518769599730149,0.7899852243364207,0.006675357452024855,0.33926076667017646,106.45668685078911,377.14929152723704,1.2421857352294041
26,3.9,0.7125855703861371,168.9508082260312,41.47638675709146,12.184916027127432,0.005194785383072386,gas,1.0,11.962995741254417,11.962995741254417,0.8201314932088966,0.006671630540324713,0.33924611429310536,106.45668685078911,377.14929152723704,1.2421857352294041
27,4.05,0.7127042173274136,168.9503639157713,41.46971887916425,12.182887551665688,0.005194785383072386,gas,1.0,12.407306001143297,12.407306001143297,0.8502602374908379,0.0066678779272137945,0.339232033679662,106.45668685078911,377.14929152723704,1.2421857352294041
28,4.2,0.7128601926974272,168.94991953180067,41.46305477302826,12.18022190921129,0.005194785383072386,gas,1.0,12.851689971779706,12.851689971779706,0.8803714675718752,0.006664106135986003,0.3392187209363565,106.45668685078911,377.14929152723704,1.2421857352294041
29,4.35,0.7130161492298922,168.94947505692656,41.45639438680956,12.17755775472381,0.005194785383072385,gas,1.0,13.29616484590224,13.29616484590224,0.9104651977847064,0.006660386218698022,0.3392118466237739,106.45668685078911,377.14929152723704,1.2421857352294041
30,4.5,0.7131705500358506,168.9490304877236,41.4497377467485,12.174921324024536,0.005194785383072386,gas,1.0,13.74073404885712,13.74073404885712,0.940541435409932,0.00665664006106681,0.3392013431113203,106.45668685078911,377.14929152723704,1.2421857352294041
31,4.6499999999999995,0.7132874808576881,168.94858582250097,41.4430848725828,12.172925461774838,0.005194785383072386,gas,1.0,14.185399271489587,14.185399271489587,0.9706001886761306,0.006652874165695266,0.33918848638908,106.45668685078911,377.14929152723704,1.2421857352294041
32,4.8,0.7134252775966174,168.9481410907149,41.43643571078786,12.170574284315144,0.005194785383072386,gas,1.0,14.630131057550898,14.630131057550898,1.000641479465198,0.006649161794939573,0.33919311380352307,106.45668685078911,377.14929152723704,1.2421857352294041
33,4.95,0.7135811304945749,168.94769627595522,41.42979028817592,12.167916115270366,0.005194785383072386,gas,1.0,15.074945817235857,15.074945817235857,1.0306653108397685,0.006645422611939011,0.3391879912686641,106.45668685078911,377.14929152723704,1.2421857352294041
34,5.1,0.7137369632514682,168.94725136402255,41.42314862601074,12.165259450404292,0.005194785383072386,gas,1.0,15.519857749895891,15.519857749895891,1.0606716868260242,0.006641662165179696,0.3391744069722026,106.45668685078911,377.14929152723704,1.2421857352294041
35,5.25,0.7138722967271762,168.94680635492944,41.416510673337484,12.162953202001239,0.005194785383072387,gas,1.0,15.964866843016353,15.964866843016353,1.0906606166247035,0.006637952673258951,0.339159826871069,106.45668685078911,377.14929152723704,1.2421857352294041
36,5.3999999999999995,0.7139898545748372,168.946361264787,41.40987645417306,12.160950581669214,0.005194785383072386,gas,1.0,16.4099569854734,16.4099569854734,1.1206321131400354,0.0066342191644253035,0.33914985886480814,106.45668685078911,377.14929152723704,1.2421857352294041
