step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,Q_release_mix,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix,P_loss_liq,Q_release_liq,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
start,start,0.5780083100198136,312.5125262840841,59.60191119199362,20.48314671519616,0.002531561765525818,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.6085565342777489,312.51208756012863,57.7178739389588,19.454936969479387,0.002531561765525818,gas,1.0,0.43872395547805354,0.43872395547805354,4.379148111841278,1.884037253034819,0.15473702768177375,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
1,0.075,0.6389017129165174,312.5116263337875,55.95581648095049,18.530908240475224,0.002531561765525818,gas,1.0,0.899950296676252,0.899950296676252,8.450363623161538,1.7620574580083144,0.15358410447692208,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
2,0.15,0.6689368727608562,312.5111427712048,54.3077467795261,17.698873389763047,0.002531561765525818,gas,1.0,1.3835128793725744,1.3835128793725744,12.237324899658816,1.6480697014243901,0.1525126982309366,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
3,0.22499999999999998,0.6985720259256588,312.5106371308304,52.766086809517844,16.948043404758902,0.002531561765525818,gas,1.0,1.8891532537527382,1.8891532537527382,15.76184585686644,1.5416599700082543,0.15152462678304515,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
4,0.3,0.7277768178364773,312.5101097215197,51.3238783807775,16.267939190388727,0.002531561765525818,gas,1.0,2.416562564438209,2.416562564438209,19.043554331271512,1.4422084287403436,0.15060009617396636,51.52687613666788,0.0,3.6002651810139032,,,,,,,,,,,,,,,,
5,0.375,0.5941338568495983,312.50956087814563,52.14890108016891,-,0.001768301164253415,mix,0.8357643699794867,,2.965405938506592,,-0.8250226993914112,,,,,535368.9131674685,0.5488433740683831,12.0,0.001,0.5488433740556369,71.64195543499685,3.9018901079175894,51.52687613666788,0.0,3.6002651810139032,,,,,,
6,0.44999999999999996,0.5306275822712783,312.5089436876979,52.14884009757179,-,0.0014104759385052304,mix,0.7464291252663879,,3.5825963862007484,,6.098259711961873e-05,,,,,995.8038529718697,1.1660338217625394,20.0,0.025257576440476045,0.6171904477174255,111.51621440434019,3.320980003972447,51.52687613666788,0.0,3.6002651810139032,,,,,,
7,0.525,0.4710989834836888,312.5083150354896,52.14877152085535,-,0.0011117537057895646,mix,0.6626894076724742,,4.211248594510835,,6.857671644411312e-05,,,,,870.697963409815,1.7946860300726257,20.0,0.04077581044854885,0.628652208296097,148.89298943703244,3.033824913148767,51.52687613666788,0.0,3.6002651810139032,,,,,,
8,0.6,0.4141236607995785,312.5076884700876,52.14870167060997,-,0.0008590976259961591,mix,0.5825416687245796,,4.83781399653526,,6.985024538153084e-05,,,,,798.885640570844,2.4212514320970513,20.0,0.05808448351588972,0.626565402011008,184.6665341607722,2.7583426009930014,51.52687613666788,0.0,3.6002651810139032,,,,,,
