step,distance,u,P[kPa],T,rho_g,m_dot,Re,h_g,tau_g,Q_gr,Sigma_Plos_gr,A_recieve_heat,mu_g
start,start,0.0,312.53805350446754,52.15200594494087,16.655802377976336,3.456298765446344e-08,0.0,18.405013333333336,0.0,0.0,0.0,5.58e-06,
0,0.0,0.00018148273690707728,312.5380507366084,60.801444110295506,21.160866466177296,0.0,0.9300017421950332,19.48940987736295,5.995291607770016e-06,0.049887274161765326,0.002767859143204987,5.58e-06,1.238814441102955e-05
1,0.00062,0.00036051516743494286,312.5380484983662,61.05281685489058,21.304690112934342,3.456298765446344e-08,1.858524904794506,19.521582716244097,1.1919112122289125e-05,0.1012323960483365,0.0050061013316735625,5.58e-06,1.2398e-05
2,0.00124,0.0005394645349496988,312.5380462734653,61.142257612017715,21.356354567210605,6.912597530892687e-08,2.787062208204976,19.533128106279904,1.7840057301527833e-05,0.15309107982550368,0.00723100226605311,5.58e-06,1.2401225761201768e-05
3,0.00186,0.0007183842757856396,312.5380440533693,61.1886044911426,21.38316269468556,1.036889629633903e-07,3.7155513617096325,19.539863852712728,2.3760320460184772e-05,0.20521580908681417,0.009451098274439573,5.58e-06,1.2403e-05
4,0.00248,0.0008973027654647985,312.53804183573936,61.21718289869136,21.3993097392148,1.3825195061785375e-07,4.643795858802483,19.542563914609808,2.968210140349691e-05,0.2575045816987721,0.011668728198856115,5.58e-06,1.2404718289869134e-05
5,0.0031,0.0010761795659975663,312.5380396194758,61.236528960509304,21.410917376305576,1.7281493827231714e-07,5.572428481171049,19.545375542260683,3.5600020043199486e-05,0.309904375833009,0.013884991756640375,5.58e-06,1.2405e-05
6,0.00372,0.001255051859550994,312.5380374043634,61.25058635270534,21.41929317635267,2.073779259267806e-07,6.500642527305176,19.54741854992651,4.152046231890569e-05,0.3623848537076029,0.01610010414151475,5.58e-06,1.2406e-05
7,0.00434,0.0014339783326151295,312.53803518993874,61.26128302137346,21.424769812824046,2.4194091358124405e-07,7.429305745491631,19.548973132439603,4.743982718512878e-05,0.4149267247246362,0.01831452880287543,5.58e-06,1.2406e-05
8,0.00496,0.001612845109435324,312.53803297608016,61.269707514034394,21.429824508420612,2.765039012357075e-07,8.357968963678083,19.55019749203966,5.335721714041234e-05,0.4675169470186971,0.020528387394733727,5.58e-06,1.2406e-05
9,0.00558,0.0017917082747607774,312.53803076274374,61.27652197686217,21.433913186117284,3.110668888901709e-07,9.286143998595977,19.5511878606373,5.927760374579566e-05,0.5201462795508367,0.02274172380566597,5.58e-06,1.2406652197686214e-05
10,0.0062,0.0019705684923652074,312.5380285497132,61.2821528265801,21.437291695948044,3.456298765446343e-07,10.214472050699811,19.551693333333336,6.519691542606701e-05,0.5728079289009564,0.024954754335340112,5.58e-06,1.2407e-05
11,0.00682,0.002149426973976932,312.5380263369694,61.28687541782256,21.44012525069352,3.8019286419909777e-07,11.143060418945252,19.551693333333336,7.111450790968478e-05,0.6254966776141436,0.027167498134076595,5.58e-06,1.2407e-05
12,0.00744,0.002328294514596467,312.538024124518,61.29088005955242,21.4424400297762,4.147558518535612e-07,12.071563160572879,19.55182123532162,7.70329465236832e-05,0.6782083996773368,0.02937994949752465,5.58e-06,1.240708800595524e-05
