step,distance,u,P[kPa],T,rho_g,m_dot,Re,h_g,tau_g,Q_gr,Sigma_Plos_gr,A_recieve_heat,mu_g
start,start,0.0,258.2669022846196,45.78586278557748,13.857345114230982,3.4984893252616414e-08,0.0,17.636200000000002,0.0,0.0,0.0,5.58e-06,
0,0.0,0.0002189968348279924,258.2668989834904,54.41215108168092,17.750075540840445,0.0,0.9603583203660931,18.68291262387096,7.091409507510165e-06,0.049426004140163717,0.0033011292398441583,5.58e-06,1.2143e-05
1,0.00062,0.0004348978381737851,258.26689633603087,54.66485982312469,17.876429911562333,3.4984893252616414e-08,1.9192173685579363,18.714573333333334,1.409357301905312e-05,0.10030793895087932,0.005948588775936514,5.58e-06,1.2152485982312467e-05
2,0.00124,0.0006507091155337961,258.2668937052306,54.75483916059511,17.921419580297545,6.996978650523283e-08,2.8779938509885175,18.725449958006486,2.1093386689143535e-05,0.15170313320218615,0.008579389075748622,5.58e-06,1.2156e-05
3,0.00186,0.0008664861349281579,258.26689108027574,54.801417773306866,17.944708886653427,1.0495467975784923e-07,3.8366938918261138,18.730766049720597,2.8092635809217444e-05,0.20336393775191733,0.011204343871213496,5.58e-06,1.2158e-05
4,0.00248,0.0010822452094230025,258.2668884582964,54.8300186482349,17.959009324117428,1.3993957301046566e-07,4.795472935358777,18.73492271021013,3.509071867033143e-05,0.2551878156573095,0.013826323207467794,5.58e-06,1.2159e-05
5,0.0031,0.001297990238378524,258.2668858381894,54.84950011178336,17.968750055891668,1.7492446626308206e-07,5.754117939704636,18.737754016245844,4.2089323769814124e-05,0.3071227789213597,0.01644643020699732,5.58e-06,1.2159950011178333e-05
6,0.00372,0.0015137254708547279,258.26688321929817,54.863661055750526,17.975830527875257,2.0990935951569847e-07,6.713109999131437,18.739279999999997,4.908507126824931e-05,0.3591384865156438,0.019065321452217177,5.58e-06,1.216e-05
7,0.00434,0.0017294549913758693,258.2668806014277,54.874407864080695,17.981203932040348,2.448942527683149e-07,7.671847617392206,18.739920609579727,5.60824933743577e-05,0.4112154619870331,0.021683191909687594,5.58e-06,1.2160440786408069e-05
8,0.00496,0.0019451815870197779,258.26687798424473,54.88282502329969,17.98541251164984,2.798791460209313e-07,8.63043168800668,18.74114390338622,6.30809420793267e-05,0.4633404155799378,0.024300374934682623,5.58e-06,1.2161e-05
9,0.00558,0.002160903773445007,258.2668753675538,54.88963499856976,17.98881749928486,3.148640392735477e-07,9.589368542229641,18.74213361979213,7.007666877030595e-05,0.5155041969084444,0.02691706587211229,5.58e-06,1.2161e-05
10,0.0062,0.002376622360505125,258.2668727513581,54.895263210846906,17.991631605423436,3.498489325261641e-07,10.547848891619967,18.74295158664308,7.7075614380164e-05,0.567700067715191,0.029533261520555243,5.58e-06,1.2161526321084686e-05
11,0.00682,0.0025923379538777755,258.2668701354585,54.89999629272506,17.993998146362514,3.8483382577878056e-07,11.506296437770606,18.743639461209373,8.407470195736145e-05,0.6199229241621826,0.03214916115393862,5.58e-06,1.2161999629272503e-05
12,0.00744,0.0028080510147321957,258.26686751980105,54.90403464118202,17.996017320590994,4.1981871903139694e-07,12.465154094283106,18.744226367851784,9.107071050979456e-05,0.6721688050795348,0.03476481855614111,5.58e-06,1.2162e-05
13,0.00806,0.003023761903738479,258.26686490443706,54.90752265827632,17.997761329138147,4.548036122840133e-07,13.424012101535654,18.744733293002824,9.806664606204634e-05,0.7244345726677187,0.03738018256262876,5.58e-06,1.2162e-05
14,0.00868,0.003239470908564548,258.2668622893265,54.91056709123188,17.999283545615928,4.897885055366298e-07,14.382870108788197,18.745175750592363,0.00010506252050656544,0.7767176977841629,0.039995293132960796,5.58e-06,1.2162e-05
15,0.0093,0.003455178262469204,258.2668596744371,54.913248594324045,18.000624297162013,5.247733987892461e-07,15.341728116040745,18.745565462375094,0.00011205834140840123,0.8290161111599381,0.04261018254328519,5.58e-06,1.2162e-05
16,0.00992,0.0036708841573051777,258.26685705974245,54.915629268618886,18.001814634309433,5.597582920418626e-07,16.30058612329329,18.745911453705943,0.00011905411498972155,0.8813280976099105,0.04522487716167234,5.58e-06,1.2162e-05
17,0.01054,0.003886588752840416,258.26685444522076,54.91775772473852,18.002878862369254,5.94743185294479e-07,17.259444130545834,18.746220789328664,0.0001260498464321204,0.9336522191115499,0.047839398903306574,5.58e-06,1.2162e-05
18,0.01116,0.004102292183585023,258.26685183085357,54.9196725700657,18.003836285032843,6.297280785470954e-07,18.218302137798382,18.746499080182883,0.00013304554009802944,0.9859872577680229,0.05045376607449725,5.58e-06,1.2162e-05
19,0.01178,0.004317994563886443,258.2668492166254,54.92140486505025,18.004702432525118,6.647129717997118e-07,19.176938627119277,18.746750840387303,0.00014004281734920508,1.0383321727771417,0.05306799421668984,5.58e-06,1.2162140486505023e-05
20,0.0124,0.004533695991796146,258.2668466024928,54.92297988799987,18.00548994399993,6.996978650523282e-07,20.13552479916485,18.74697974372265,0.00014704043104760755,1.0906860674630443,0.05568212681100704,5.58e-06,1.2162297988799987e-05
21,0.01302,0.00474939655204778,258.2668439884407,54.92441842564921,18.006209212824597,7.346827583049446e-07,21.094109815567734,18.747188811194352,0.00015403802493749194,1.1430481636665482,0.05829617890412919,5.58e-06,1.2162441842564919e-05
22,0.01364,0.0049650963183818725,258.2668413744621,54.9257377320323,18.00686886601615,7.696676515575611e-07,22.05269377503525,18.747380550388694,0.0001610356007023447,1.1954177816028417,0.06091015751007944,5.58e-06,1.2162573773203228e-05
23,0.01426,0.005180795355382323,258.2668387605509,54.92695225119121,18.007476125595602,8.046525448101775e-07,23.01127676396168,18.747557060506455,0.00016803315981660772,1.2477943238399103,0.06352406871155836,5.58e-06,1.216269522511912e-05
24,0.01488,0.005396493719943138,258.2668361467018,54.92807416901417,18.00803708450708,8.396374380627939e-07,23.969858858408976,18.747720112563393,0.00017503070357916345,1.3001772624234125,0.06613791786367074,5.58e-06,1.2162807416901416e-05
25,0.0155,0.005612191462451453,258.2668335329099,54.929113839626666,18.00855691981333,8.746223313154104e-07,24.928440125702796,18.747871211359076,0.0001820282331403436,1.3525661284327195,0.06875170971034095,5.58e-06,1.2162911383962666e-05
26,0.01612,0.005827888627750614,258.2668309191712,54.9300801184454,18.0090400592227,9.096072245680266e-07,25.8870376776739,18.748,0.0001890256250115486,1.4049605034359265,0.07136544844252057,5.58e-06,1.2163e-05
27,0.01674,0.006043585289162511,258.26682830548356,54.93098042687632,18.009490213438156,9.445921178206431e-07,26.845816850921086,18.748,0.00019602167432555636,1.4573600111388578,0.07397913609747775,5.58e-06,1.2163e-05
28,0.01736,0.0062592818229626505,258.26682569186124,54.9318194198886,18.009909709944296,9.795770110732595e-07,27.804596024168262,18.748,0.00020301771950051927,1.5097643001711463,0.07659275841433555,5.58e-06,1.2163e-05
29,0.01798,0.00647497823731034,258.26682307829975,54.93260317981742,18.010301589908707,1.0145619043258759e-06,28.763375197415446,18.748,0.00021001376080108177,1.562173055765494,0.07920631987508386,5.58e-06,1.2163e-05
30,0.0186,0.0066906745396046845,258.26682046479516,54.933337008742456,18.010668504371225,1.0495467975784923e-06,29.722154370662633,18.748,0.00021700979846723143,1.6145859933705753,0.08181982446694747,5.58e-06,1.2163e-05
31,0.01922,0.006906370736576244,258.26681785134383,54.93402554985448,18.011012774927238,1.0845316908311089e-06,30.680933543909816,18.748,0.0002240058327172716,1.6670028548960998,0.08443327579880133,5.58e-06,1.2163e-05
32,0.01984,0.007122066834365204,258.26681523794247,54.93467288683587,18.01133644341793,1.1195165840837252e-06,31.639712717157,18.748,0.00023100186375035728,1.7194234055242363,0.08704667718848214,5.58e-06,1.2163e-05
33,0.02046,0.007337762838588526,258.26681262458806,54.93528262576689,18.011641312883444,1.1545014773363416e-06,32.598491890404176,18.748,0.00023799789174867262,1.7718474309878105,0.08966003160458058,5.58e-06,1.2163e-05
34,0.02108,0.007553458754397765,258.26681001127787,54.93585796304285,18.011928981521425,1.189486370588958e-06,33.557271063651356,18.748,0.00024499391687930674,1.8242747352355555,0.09227334178285673,5.58e-06,1.2163e-05
35,0.0217,0.0077691545865291875,258.2668073980094,54.93640174201312,18.01220087100656,1.2244712638415744e-06,34.516050236898536,18.748,0.0002519899392958787,1.8767051384201405,0.09488661022624001,5.58e-06,1.2163e-05
36,0.02232,0.00798485033934725,258.2668047847804,54.93691650047009,18.012458250235046,1.2594561570941908e-06,35.47482941014572,18.748,0.0002589859591399482,1.9291384751568363,0.09749983923393302,5.58e-06,1.2163e-05
37,0.02294,0.008200546016882507,258.2668021715887,54.937404510667875,18.012702255333938,1.2944410503468071e-06,36.433608583392896,18.748,0.00026598197654224517,1.9815745930102415,0.10011303090141155,5.58e-06,1.2163e-05
