step,distance,u,P[kPa],T,rho_g,m_dot,Re,h_g,tau_g,Q_gr,Sigma_Plos_gr,A_recieve_heat,mu_g
start,start,0.0,185.40351879775943,35.3789197996266,10.094675939887972,7.079032874218743e-08,0.0,16.424575742036584,0.0,0.0,0.0,5.58e-06,
0,0.0,0.0005997862824397789,185.40350992418593,43.922478219533616,13.113991287813441,0.0,2.0078945070963083,17.415653501238886,1.8796502376619418e-05,0.09622198304351307,0.008873573504388332,5.58e-06,1.1752e-05
1,0.00062,0.0011905047732017966,185.40350290682505,44.17719360022471,13.213877440089881,7.079032874218743e-08,4.012715967587078,17.445405469899327,3.733740436700355e-05,0.19532849524088267,0.015890934388153255,5.58e-06,1.1761e-05
2,0.00124,0.0017810071143755147,185.40349593717622,44.267798972745425,13.249119589098154,1.4158065748437487e-07,6.0175389954256575,17.455986666666668,5.587138051603614e-05,0.29545090293607607,0.022860583208967,5.58e-06,1.1764e-05
3,0.00186,0.0023713171353133815,185.40348898429332,44.314718066520015,13.267887226607996,2.1237098622656233e-07,8.022021501749382,17.4618,7.440244643759267e-05,0.39609923005171366,0.029813466127961874,5.58e-06,1.1766e-05
4,0.00248,0.0029616481753249307,185.40348204006497,44.34359702905584,13.279079108716745,2.8316131496874973e-07,10.026674703576024,17.465229434889444,9.293257087746255e-05,0.4970712414580145,0.03675769446999766,5.58e-06,1.1767e-05
5,0.0031,0.003552049663143734,185.40347510109967,44.363218367112495,13.286287346844993,3.539516437109372e-07,12.030987209753132,17.467613333333336,0.00011146805449566789,0.5982631584645983,0.04369665976264514,5.58e-06,1.1768e-05
6,0.00372,0.004142282429613712,185.40346816530962,44.37745565417748,13.291982261670993,4.2474197245312465e-07,14.03526253614843,17.468696888407127,0.0001299985812645979,0.6996146361781443,0.05063244982738979,5.58e-06,1.1768745565417748e-05
7,0.00434,0.004732501887897894,185.40346123205197,44.38823510706641,13.296294042826549,4.955323011953121e-07,16.039953265287323,17.47026350222698,0.0001485248392497875,0.80108689909716,0.05756570748053491,5.58e-06,1.1769e-05
8,0.00496,0.0053227042918127096,185.4034543008928,44.39673049504927,13.299692198019693,5.663226299374995e-07,18.04494742344824,17.471498165280487,0.00016704775149425005,0.9026543764164867,0.06449686663108878,5.58e-06,1.1769e-05
9,0.00558,0.005912893128225666,185.4034473715046,44.4036062406077,13.302442496243067,6.371129586796869e-07,20.049327232913225,17.47249744030165,0.00018557592415364974,1.0042989144995256,0.07142625484266318,5.58e-06,1.1769360624060767e-05
10,0.0062,0.006503070892018197,185.40344044333676,44.40929060008159,13.304716240032626,7.079032874218744e-07,22.053194832184825,17.473323567211853,0.0002041084881900217,1.1060071600645411,0.07835442267241888,5.58e-06,1.1769929060008157e-05
11,0.00682,0.007093239437469889,185.4034335160184,44.41407228395019,13.306628913580067,7.786936161640617e-07,24.057885723768027,17.474018505267427,0.00022263314181072155,1.207768995915457,0.08528174104867503,5.58e-06,1.177e-05
12,0.00744,0.007683400188960303,185.40342658965398,44.41815314747231,13.308261258988916,8.494839449062493e-07,26.062709534082035,17.474611590765978,0.00024115632059750072,1.3095765673537545,0.09220810545957647,5.58e-06,1.177e-05
13,0.00806,0.008273554256911116,185.40341966413914,44.42167870697142,13.309671482788561,9.202742736484366e-07,28.067533344396033,17.47488,0.00025967928961025024,1.4114236506739881,0.09913362030056305,5.58e-06,1.177e-05
