step,distance,u,P[kPa],T,rho_g,m_dot,Re,h_g,tau_g,Q_gr,Sigma_Plos_gr,A_recieve_heat,mu_g
start,start,0.0,10.13302414074214,46.061878131187314,0.06901942737387098,4.514803923146103e-09,0.0,43.51520396877512,0.0,0.0,0.0,3.72e-06,
0,0.0,0.0017051773169629197,10.132643722149675,103.0607950126871,0.6619258710272126,0.0,0.1829577593999323,54.22331331276578,8.415648798426184e-05,0.09287919377586527,0.380418592465503,3.72e-06,1.2338377825444047e-05
1,0.00062,0.0027462637195072447,10.132596594516404,109.8089294018385,0.8219902355109914,4.514803923146103e-09,0.3590985659698438,55.720208473984826,0.00013811074050199733,0.19681816895041765,0.42754622573738743,3.72e-06,1.2572603599662508e-05
2,0.00124,0.0037633394530174917,10.132557923509063,112.70637174569276,0.8997601690287488,9.029607846292206e-09,0.5343757244125388,56.38116349258907,0.0001907729593662867,0.305470292618933,0.46621723307725915,3.72e-06,1.2673116639353553e-05
3,0.00186,0.004765578831582426,10.132522312556649,114.3804542972224,0.9473778700764768,1.354441176943831e-08,0.7092299499472048,56.7688537693701,0.0002426931237914246,0.41684323643420185,0.5018281854918314,3.72e-06,1.2731565900402783e-05
4,0.00248,0.005757941894379633,10.132488335519318,115.49407154259751,0.9801253655305714,1.8059215692584413e-08,0.88383166215045,57.02861612802629,0.0002941281667907402,0.5300255017736196,0.5358052228220913,3.72e-06,1.2770542503990911e-05
5,0.0031,0.006742618800433437,10.132455393164637,116.29878918522019,1.0043880701492152,2.2574019615730514e-08,1.0583011288424522,57.21828128619202,0.00034517512246184923,0.6445149778325169,0.568747577503018,3.72e-06,1.2798258832297485e-05
6,0.00372,0.007721979488559174,10.132423176819874,116.91317884723634,1.023171180033773,2.708882353887662e-08,1.2326666134870115,57.36413482779332,0.00039595874562619747,0.7600023899933851,0.600963922266601,3.72e-06,1.281921125965327e-05
7,0.00434,0.00869578767021363,10.132391500120224,117.40092057926626,1.0383887220731065,3.1603627462022724e-08,1.406888332827453,57.478968741182456,0.00044648633864977544,0.8762819734298029,0.6326406219159253,3.72e-06,1.2836282220274318e-05
8,0.00496,0.009667033919991963,10.132360246076518,117.79934651884008,1.0508196113878099,3.6118431385168825e-08,1.5810317943436623,57.57277414439571,0.0004968943261100714,0.9932086154152624,0.6638946656221378,3.72e-06,1.2850227128159402e-05
9,0.00558,0.010634047048519496,10.132329328207337,118.13222679140574,1.0614030346458425,4.0633235308314927e-08,1.7551107019577792,57.6523779845791,0.0005470952604872329,1.1106758428251546,0.6948125348026224,3.72e-06,1.28618779376992e-05
10,0.0062,0.01159869513811582,10.132298690872751,118.41552687657594,1.0704403073627717,4.514803923146103e-08,1.929134560132551,57.72031334500291,0.0005971840319969922,1.228603136604825,0.7254498693891946,3.72e-06,1.2871793440680157e-05
11,0.00682,0.012561524387166534,10.132268288776578,118.66021530577837,1.0782458682543292,4.9662843154607136e-08,2.103111149189053,57.77898963032565,0.0006471877012005919,1.3469277837933058,0.7558519655631244,3.72e-06,1.2880357535702242e-05
12,0.00744,0.013522456572645022,10.132238086683854,118.8741537882006,1.0850922442529791,5.417764707775324e-08,2.277050944412023,57.8302920784105,0.0006971000115297787,1.4655998407846733,0.7860540582860267,3.72e-06,1.288782122879882e-05
13,0.00806,0.014479922067426258,10.13220805776028,119.06315097812615,1.091291352082537,5.869245100089934e-08,2.4509866404306777,57.875613604554644,0.0007468307744307421,1.584578799865801,0.8160829818589264,3.72e-06,1.2894247133256288e-05
14,0.00868,0.015436050265976787,10.132178184529305,119.23160077812418,1.0968165055224721,6.320725492404545e-08,2.6248912055322426,57.91600786659418,0.0007964986147063731,1.7038312906365398,0.8459562128355174,3.72e-06,1.2899974426456222e-05
15,0.0093,0.016390961082389004,10.132148448581022,119.38289444830025,1.1017789379042475,6.772205884719154e-08,2.798767917828983,57.95228808870239,0.0008461091745691715,1.8233294511041118,0.8756921611184225,3.72e-06,1.2905118411242208e-05
16,0.00992,0.01734475844827395,10.132118834759911,119.51969533961858,1.1062660071394887,7.223686277033765e-08,2.972619528642739,57.98509294244053,0.000895667344221974,1.9430497451800204,0.9053059822290379,3.72e-06,1.2909769641547032e-05
17,0.01054,0.018297532987579086,10.132089330423865,119.6441271739871,1.1103473713067762,7.675166669348376e-08,3.14644837301621,58.0149316963221,0.0009451773877138078,2.0629720860841108,0.9348103182746854,3.72e-06,1.291400032391556e-05
18,0.01116,0.019249364182189765,10.132059924905136,119.75790621859392,1.1140793239698796,8.126647061662985e-08,3.3202564522044193,58.04221591121882,0.0009946430448360365,2.183079174485623,0.9642158370043035,3.72e-06,1.2917868811432193e-05
19,0.01178,0.02020016477219733,10.13203060911013,119.8624360574309,1.1175166079239343,8.578127453977597e-08,3.4940421335545753,58.067309277177124,0.0010440604855435378,2.303355990606992,0.9935316320097627,3.72e-06,1.2921435262010081e-05
20,0.0124,0.021149029757936283,10.132001375416536,119.95887829336931,1.120747422827871,9.029607846292206e-08,3.6677861011411137,58.0906463694295,0.0010933888278464832,2.423789401488499,1.0227653256042686,3.72e-06,1.2924810740267925e-05
21,0.01302,0.022097122610432847,10.131972218381126,120.04821032645094,1.1237400459361058,9.481088238606816e-08,3.841513287555872,58.11226293479459,0.0011426808679016846,2.5443678632586897,1.0519223610135668,3.72e-06,1.2927937361425782e-05
22,0.01364,0.023044493775839142,10.131943131959035,120.13124510525864,1.1265217110261638,9.932568630921427e-08,4.01522490008065,58.132355690570485,0.001191938977461337,2.6650811500263094,1.0810087831050623,3.72e-06,1.2930843578684052e-05
23,0.01426,0.023991188611938268,10.131914110836105,120.20867240539684,1.1291155255807934,1.0384049023236038e-07,4.1889220108409235,58.151091548657924,0.0012411652890453055,2.7859201560973754,1.1100299060344696,3.72e-06,1.2933553534188888e-05
24,0.01488,0.024937248062660542,10.131885150312696,120.28108170085142,1.1315412369785216,1.0835529415550648e-07,4.36260557690566,58.16861314997202,0.001290361727653864,2.906876733071327,1.138990429444675,3.72e-06,1.29360878595298e-05
