step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_liq,P_loss_all_phase,Q_release_liq,Delta_T,G_in_liq,G_pipe_liq,R_insu_liq,G_ex_liq
start,start,0.0017814487838446887,10.08431451526489,30.0,995.605,0.0003792435295442727,,,,,,,,,,
0,0.0,0.0017814487838446887,10.084289474459126,30.0,995.605,0.0003792435295442727,liq,0.0,0.025040805761818774,0.025040805761818774,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
1,0.15,0.0017814487838446887,10.084264433653365,30.0,995.605,0.0003792435295442727,liq,0.0,0.05008161152363755,0.05008161152363755,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
2,0.3,0.0017814487838446887,10.084239392847604,30.0,995.605,0.0003792435295442727,liq,0.0,0.07512241728545632,0.07512241728545632,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
3,0.44999999999999996,0.0017814487838446887,10.084214352041842,30.0,995.605,0.0003792435295442727,liq,0.0,0.1001632230472751,0.1001632230472751,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
4,0.6,0.0017814487838446887,10.084189311236079,30.0,995.605,0.0003792435295442727,liq,0.0,0.12520402880909387,0.12520402880909387,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
5,0.75,0.0017814487838446887,10.084164270430318,30.0,995.605,0.0003792435295442727,liq,0.0,0.15024483457091264,0.15024483457091264,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
6,0.8999999999999999,0.0017814487838446887,10.084139229624556,30.0,995.605,0.0003792435295442727,liq,0.0,0.17528564033273142,0.17528564033273142,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
7,1.05,0.0017814487838446887,10.084114188818795,30.0,995.605,0.0003792435295442727,liq,0.0,0.2003264460945502,0.2003264460945502,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
8,1.2,0.0017814487838446887,10.084089148013032,30.0,995.605,0.0003792435295442727,liq,0.0,0.22536725185636897,0.22536725185636897,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
9,1.3499999999999999,0.0017814487838446887,10.08406410720727,30.0,995.605,0.0003792435295442727,liq,0.0,0.25040805761818774,0.25040805761818774,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
10,1.5,0.0017814487838446887,10.084039066401509,30.0,995.605,0.0003792435295442727,liq,0.0,0.2754488633800065,0.2754488633800065,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
11,1.65,0.0017814487838446887,10.084014025595748,30.0,995.605,0.0003792435295442727,liq,0.0,0.3004896691418253,0.3004896691418253,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
12,1.7999999999999998,0.0017814487838446887,10.083988984789984,30.0,995.605,0.0003792435295442727,liq,0.0,0.32553047490364406,0.32553047490364406,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
13,1.95,0.0017814487838446887,10.083963943984223,30.0,995.605,0.0003792435295442727,liq,0.0,0.35057128066546284,0.35057128066546284,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
14,2.1,0.0017814487838446887,10.083938903178462,30.0,995.605,0.0003792435295442727,liq,0.0,0.3756120864272816,0.3756120864272816,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
15,2.25,0.0017814487838446887,10.0839138623727,30.0,995.605,0.0003792435295442727,liq,0.0,0.4006528921891004,0.4006528921891004,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
16,2.4,0.0017814487838446887,10.083888821566937,30.0,995.605,0.0003792435295442727,liq,0.0,0.42569369795091916,0.42569369795091916,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
17,2.55,0.0017814487838446887,10.083863780761176,30.0,995.605,0.0003792435295442727,liq,0.0,0.45073450371273793,0.45073450371273793,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
18,2.6999999999999997,0.0017814487838446887,10.083838739955414,30.0,995.605,0.0003792435295442727,liq,0.0,0.4757753094745567,0.4757753094745567,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
19,2.85,0.0017814487838446887,10.083813699149653,30.0,995.605,0.0003792435295442727,liq,0.0,0.5008161152363755,0.5008161152363755,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
20,3.0,0.0017814487838446887,10.08378865834389,30.0,995.605,0.0003792435295442727,liq,0.0,0.5258569209981943,0.5258569209981943,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
21,3.15,0.0017814487838446887,10.083763617538128,30.0,995.605,0.0003792435295442727,liq,0.0,0.550897726760013,0.550897726760013,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
22,3.3,0.0017814487838446887,10.083738576732367,30.0,995.605,0.0003792435295442727,liq,0.0,0.5759385325218318,0.5759385325218318,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
23,3.4499999999999997,0.0017814487838446887,10.083713535926606,30.0,995.605,0.0003792435295442727,liq,0.0,0.6009793382836506,0.6009793382836506,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
24,3.5999999999999996,0.0017814487838446887,10.083688495120843,30.0,995.605,0.0003792435295442727,liq,0.0,0.6260201440454694,0.6260201440454694,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
25,3.75,0.0017814487838446887,10.083663454315081,30.0,995.605,0.0003792435295442727,liq,0.0,0.6510609498072881,0.6510609498072881,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
26,3.9,0.0017814487838446887,10.08363841350932,30.0,995.605,0.0003792435295442727,liq,0.0,0.6761017555691069,0.6761017555691069,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
27,4.05,0.0017814487838446887,10.083613372703558,30.0,995.605,0.0003792435295442727,liq,0.0,0.7011425613309257,0.7011425613309257,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
28,4.2,0.0017814487838446887,10.083588331897795,30.0,995.605,0.0003792435295442727,liq,0.0,0.7261833670927444,0.7261833670927444,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
29,4.35,0.0017814487838446887,10.083563291092034,30.0,995.605,0.0003792435295442727,liq,0.0,0.7512241728545632,0.7512241728545632,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
30,4.5,0.0017814487838446887,10.083538250286272,30.0,995.605,0.0003792435295442727,liq,0.0,0.776264978616382,0.776264978616382,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
31,4.6499999999999995,0.0017814487838446887,10.083513209480511,30.0,995.605,0.0003792435295442727,liq,0.0,0.8013057843782008,0.8013057843782008,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
32,4.8,0.0017814487838446887,10.083488168674748,30.0,995.605,0.0003792435295442727,liq,0.0,0.8263465901400195,0.8263465901400195,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
33,4.95,0.0017814487838446887,10.083463127868987,30.0,995.605,0.0003792435295442727,liq,0.0,0.8513873959018383,0.8513873959018383,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
34,5.1,0.0017814487838446887,10.083438087063225,30.0,995.605,0.0003792435295442727,liq,0.0,0.8764282016636571,0.8764282016636571,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
35,5.25,0.0017814487838446887,10.083413046257464,30.0,995.605,0.0003792435295442727,liq,0.0,0.9014690074254759,0.9014690074254759,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
36,5.3999999999999995,0.0017814487838446887,10.0833880054517,30.0,995.605,0.0003792435295442727,liq,0.0,0.9265098131872946,0.9265098131872946,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
37,5.55,0.0017814487838446887,10.08336296464594,30.0,995.605,0.0003792435295442727,liq,0.0,0.9515506189491134,0.9515506189491134,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
38,5.7,0.0017814487838446887,10.083337923840178,30.0,995.605,0.0003792435295442727,liq,0.0,0.9765914247109322,0.9765914247109322,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
39,5.85,0.0017814487838446887,10.083312883034417,30.0,995.605,0.0003792435295442727,liq,0.0,1.001632230472751,1.001632230472751,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
40,6.0,0.0017814487838446887,10.083287842228653,30.0,995.605,0.0003792435295442727,liq,0.0,1.0266730362345697,1.0266730362345697,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
41,6.1499999999999995,0.0017814487838446887,10.083262801422892,30.0,995.605,0.0003792435295442727,liq,0.0,1.0517138419963885,1.0517138419963885,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
42,6.3,0.0017814487838446887,10.08323776061713,30.0,995.605,0.0003792435295442727,liq,0.0,1.0767546477582073,1.0767546477582073,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
43,6.45,0.0017814487838446887,10.08321271981137,30.0,995.605,0.0003792435295442727,liq,0.0,1.101795453520026,1.101795453520026,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
44,6.6,0.0017814487838446887,10.083187679005606,30.0,995.605,0.0003792435295442727,liq,0.0,1.1268362592818448,1.1268362592818448,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
45,6.75,0.0017814487838446887,10.083162638199845,30.0,995.605,0.0003792435295442727,liq,0.0,1.1518770650436636,1.1518770650436636,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
46,6.8999999999999995,0.0017814487838446887,10.083137597394083,30.0,995.605,0.0003792435295442727,liq,0.0,1.1769178708054824,1.1769178708054824,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
47,7.05,0.0017814487838446887,10.083112556588322,30.0,995.605,0.0003792435295442727,liq,0.0,1.2019586765673012,1.2019586765673012,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
48,7.199999999999999,0.0017814487838446887,10.083087515782559,30.0,995.605,0.0003792435295442727,liq,0.0,1.22699948232912,1.22699948232912,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
49,7.35,0.0017814487838446887,10.083062474976797,30.0,995.605,0.0003792435295442727,liq,0.0,1.2520402880909387,1.2520402880909387,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
50,7.5,0.0017814487838446887,10.083037434171036,30.0,995.605,0.0003792435295442727,liq,0.0,1.2770810938527575,1.2770810938527575,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
51,7.6499999999999995,0.0017814487838446887,10.083012393365275,30.0,995.605,0.0003792435295442727,liq,0.0,1.3021218996145763,1.3021218996145763,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
52,7.8,0.0017814487838446887,10.082987352559512,30.0,995.605,0.0003792435295442727,liq,0.0,1.327162705376395,1.327162705376395,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
53,7.949999999999999,0.0017814487838446887,10.08296231175375,30.0,995.605,0.0003792435295442727,liq,0.0,1.3522035111382138,1.3522035111382138,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
54,8.1,0.0017814487838446887,10.082937270947989,30.0,995.605,0.0003792435295442727,liq,0.0,1.3772443169000326,1.3772443169000326,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
55,8.25,0.0017814487838446887,10.082912230142227,30.0,995.605,0.0003792435295442727,liq,0.0,1.4022851226618513,1.4022851226618513,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
56,8.4,0.0017814487838446887,10.082887189336464,30.0,995.605,0.0003792435295442727,liq,0.0,1.4273259284236701,1.4273259284236701,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
57,8.549999999999999,0.0017814487838446887,10.082862148530703,30.0,995.605,0.0003792435295442727,liq,0.0,1.452366734185489,1.452366734185489,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
58,8.7,0.0017814487838446887,10.082837107724941,30.0,995.605,0.0003792435295442727,liq,0.0,1.4774075399473077,1.4774075399473077,0.0,0.0,1.262216753041771,103.05375227333576,485.4955599291535,1.1224910551276333
