step,distance,u,P[kPa],T,rho_g,m_dot,Re,h_g,tau_g,Q_gr,Sigma_Plos_gr,A_recieve_heat,mu_g
start,start,0.0,177.20557380131424,34.01992651746798,9.669837367380136,2.120264090052696e-08,0.0,48.80843036929283,0.0,0.0,0.0,1.86e-06,
0,0.0,0.0010746585448873655,177.20535003496124,58.22930733328735,19.729653666643667,0.0,1.7253446504522485,57.482240000000004,0.00010565123536080548,0.23097843394672998,0.2237663530104328,1.86e-06,1.2288930733328734e-05
1,0.00062,0.0020310953588848313,177.20523170557763,60.30505981850803,20.878035891104812,2.120264090052696e-08,3.4283516695815273,58.277966080869504,0.00020098094795237184,0.4818015750768841,0.3420957366179209,1.86e-06,1.2369e-05
2,0.00124,0.0029790409910850687,177.20511915624678,61.134686397921826,21.351811838753086,4.240528180105392e-08,5.129257535810088,58.59608326949391,0.0002955446986435675,0.740532212110155,0.45464506748248823,1.86e-06,1.2401e-05
3,0.00186,0.003923118422144405,177.20500881955928,61.59358379403267,21.618150276419584,6.360792270158089e-08,6.82909764088154,58.77436253419823,0.00038976966147689094,1.0036356862662714,0.564981754985638,1.86e-06,1.2419e-05
4,0.00248,0.004865077005657893,177.20489968405406,61.889421548156974,21.79065292889416,8.481056360210785e-08,8.528171331049576,58.89026779499643,0.0004838199266884576,1.269557960637144,0.6741172602050938,1.86e-06,1.2430942154815693e-05
5,0.0031,0.005805546536565723,177.20479130839047,62.09801873401125,21.912811240406736,1.0601320450263483e-07,10.227339151948186,58.96900000000001,0.0005777123450812089,1.5374677021159115,0.7824929237831384,1.86e-06,1.2438801873401123e-05
6,0.00372,0.006744673138817389,177.2046834687527,62.253816154855826,22.005289692913486,1.2721584540316178e-07,11.925953097925973,59.031703843517136,0.0006714996577006592,1.8068617761812973,0.8903325615392532,1.86e-06,1.2445e-05
7,0.00434,0.007683265789577366,177.2045760288075,62.37539306218275,22.07669653109138,1.4841848630368875e-07,13.624691085516204,59.078,0.0007652249555797247,2.077414164233678,0.9977725067583378,1.86e-06,1.2449539306218275e-05
8,0.00496,0.008620953594143497,177.20446889731372,62.47313233050687,22.134879398304108,1.696211272042157e-07,15.323132449467558,59.114245696100994,0.0008588754838037045,2.3488977182609383,1.1049040005309507,1.86e-06,1.2453313233050684e-05
9,0.00558,0.009558420597959635,177.2043620150313,62.55359894578703,22.182159367472213,1.9082376810474269e-07,17.021538459044407,59.149329140363136,0.0009525050159355148,2.6211478642459833,1.211786282947287,1.86e-06,1.2456359894578702e-05
10,0.0062,0.010495024421225265,177.20425533446954,62.621368460739575,22.222821076443743,2.1202640900526965e-07,18.719519079629524,59.17451664888246,0.0010460715637354693,2.894043679886087,1.318466844735667,1.86e-06,1.2459136846073958e-05
11,0.00682,0.011431275771877171,177.20414882536485,62.679176918331905,22.257506150999138,2.3322904990579657e-07,20.416736580844464,59.19536113639272,0.001139644942254242,3.167490219377213,1.4249759493977763,1.86e-06,1.246191769183319e-05
12,0.00744,0.012367230216513316,177.20404245850358,62.72912465460678,22.287474792764055,2.5443169080632356e-07,22.114591423092353,59.21713834940855,0.0012331525988705779,3.4414125877548023,1.5313428106892388,1.86e-06,1.2463912465460675e-05
13,0.00806,0.013303477348617395,177.20393621766428,62.77289266254354,22.312735597526103,2.756343317068505e-07,23.813083376329303,59.23186120086897,0.0013266535471806262,3.7157519450914736,1.6375836499792058,1.86e-06,1.246528926625435e-05
14,0.00868,0.014238952676239097,177.2038300853805,62.81147546948512,22.335885281691066,2.968369726073775e-07,25.51051684510343,59.24868330469551,0.0014201361841173824,3.9904588505535346,1.7437159337569028,1.86e-06,1.2467e-05
15,0.0093,0.015174190119227946,177.2037240485454,62.845885286453324,22.356531171871982,3.1803961350790444e-07,27.209035483512302,59.261120000000005,0.0015135344192522722,4.2654935844273405,1.8497527688450646,1.86e-06,1.2468e-05
16,0.00992,0.01610924402689149,177.20361810113607,62.87672462585874,22.375034775515246,3.392422544084314e-07,28.90728168329123,59.27277193687442,0.0016069293101704802,4.5408221064809435,1.9557001781940926,1.86e-06,1.2469e-05
17,0.01054,0.017044126486471755,177.20351223285212,62.90455565576667,22.391733393459983,3.6044489530895843e-07,30.604137451319897,59.28490626591426,0.0017003841760289142,4.8164157621655646,2.0615684621443506,1.86e-06,1.2470455565576664e-05
18,0.01116,0.017978834590476236,177.20340643117004,62.929854499394764,22.406912699636855,3.8164753620948537e-07,32.30295702910852,59.29593656173611,0.0017937123694226334,5.0922504423134916,2.1673701442196034,1.86e-06,1.2471e-05
19,0.01178,0.018913383540787254,177.20330069654617,62.95296724711346,22.420780348268053,4.0285017711001237e-07,33.99957741306492,59.30165371974145,0.0018871466527117624,5.368305319285946,2.273104768100893,1.86e-06,1.2472296724711342e-05
20,0.0124,0.019847837045445762,177.2031950163336,62.97408324465124,22.43344994679073,4.240528180105393e-07,35.69754340664365,59.31086029466793,0.0019804965717427603,5.644561330819462,2.378784980654018,1.86e-06,1.2473e-05
21,0.01302,0.02078215668534751,177.20308938984977,62.99354128487943,22.445124770927656,4.4525545891106625e-07,37.39442839599112,59.31934400020743,0.0020738929799441986,5.921002719801046,2.4844114644802175,1.86e-06,1.2474e-05
22,0.01364,0.021716352581341747,177.20298380984352,63.011538279967965,22.45592296798075,4.6645809981159314e-07,39.09104133964891,59.32719069006601,0.0021672919876179067,6.1976155665181745,2.5899914707406424,1.86e-06,1.2475e-05
23,0.01426,0.022650433692220324,177.2028782721467,63.028240493552914,22.465944296131727,4.876607407121202e-07,40.79065183267712,59.334472855189055,0.002260513282483588,6.474387535322364,2.6955291675403714,1.86e-06,1.2475e-05
24,0.01488,0.023584407990092447,177.20277278152687,63.043789350422344,22.475273610253396,5.088633816126471e-07,42.48685656565999,59.336892156784145,0.0023539125926751473,6.751307637974141,2.8010197873809375,1.86e-06,1.2476e-05
25,0.0155,0.024518332716265436,177.20266732624273,63.0582293717502,22.483937623050117,5.300660225131741e-07,44.183416418548475,59.34318800608309,0.002447287168124714,7.028365271674991,2.9064750715333503,1.86e-06,1.247682293717502e-05
26,0.01612,0.025452164613958723,177.20256190464164,63.07174641214789,22.492047847288703,5.51268663413701e-07,45.88212745966402,59.34908143569646,0.002540533263106904,7.305551681811207,3.0118966726295184,1.86e-06,1.2477e-05
27,0.01674,0.02638590943009667,177.20245651955813,63.084430443330405,22.49965826599822,5.724713043142281e-07,47.57977600902676,59.35461167329204,0.00263382945669569,7.582858932199856,3.1172817561309785,1.86e-06,1.2477443044333036e-05
28,0.01736,0.02731957236731487,177.20235116637986,63.09635985635708,22.506815913814233,5.93673945214755e-07,49.276854152531,59.359812897371675,0.00272714899199484,7.860279833511595,3.222634934412781,1.86e-06,1.2478e-05
29,0.01798,0.028253158152184064,177.20224584200497,63.10760328972805,22.51356197383682,6.148765861152819e-07,50.97605601985966,59.36471503432143,0.002820343259383622,8.137807850353795,3.327959309273865,1.86e-06,1.2478e-05
30,0.0186,0.02918667109292737,177.20214054918998,63.11822111907509,22.51993267144505,6.360792270158089e-07,52.6717876111998,59.369344407916735,0.00291372221285915,8.415437022546826,3.4332521242904477,1.86e-06,1.2478822111907508e-05
31,0.01922,0.030120115197823573,177.20203527922615,63.12826659336554,22.525959956019324,6.572818679163359e-07,54.370102477511246,59.37372423470738,0.0030069513404291227,8.693161897225997,3.538522088114405,1.86e-06,1.2479e-05
32,0.01984,0.031053494023020375,177.20193003592922,63.13778709263778,22.53167225558265,6.784845088168628e-07,56.06566959380539,59.374480000000005,0.003100325868453916,8.970977472925107,3.6437653850298375,1.86e-06,1.2479778709263775e-05
33,0.02046,0.03198684967313504,177.20182481274824,63.14677918866113,22.537067513196657,6.996871497173898e-07,57.76360501746128,59.37743572625624,0.0031935670713658026,9.248878685286586,3.7489885660179425,1.86e-06,1.248e-05
34,0.02108,0.03292015770793002,177.20171961289176,63.155315736958755,22.542189442175236,7.208897906179169e-07,59.462534576798376,59.381157661314006,0.003286748545559733,9.526861215940515,3.8541884224978276,1.86e-06,1.248e-05
35,0.0217,0.0338534099997072,177.2016144369383,63.163443472684776,22.547066083610854,7.420924315184438e-07,61.159776619948005,59.38470135409056,0.0033800177130048625,9.804921178715869,3.959364375943551,1.86e-06,1.2480344347268475e-05
36,0.02232,0.03478660915155348,177.20150928083171,63.17119252510389,22.551715515062323,7.632950724189707e-07,62.85535720851676,59.38807994094529,0.003473373350564312,10.083054965891534,4.064520482555963,1.86e-06,1.2481e-05
37,0.02294,0.03571975757906019,177.20140414088164,63.1785900664467,22.556154039868016,7.844977133194976e-07,64.5541506465848,59.39130526897076,0.0035665463547540016,10.361259228619723,4.169660432613455,1.86e-06,1.2481e-05
38,0.02356,0.03665285752833701,177.20129902162066,63.185660670692926,22.560396402415755,8.057003542200247e-07,66.2499393647572,59.394388052422116,0.003659880502294532,10.639530852171802,4.274779693601886,1.86e-06,1.2481566067069291e-05
39,0.02418,0.03758591109188363,177.2011939173601,63.19242662092074,22.564455972552437,8.269029951205516e-07,67.9462935443902,59.39733800672144,0.0037531787379911316,10.917866934112363,4.379883954185061,1.86e-06,1.2482e-05
40,0.0248,0.03851892022262037,177.2010888283554,63.198908173672976,22.56834490420376,8.481056360210786e-07,69.64495088299996,59.400163963721404,0.00384634529774998,11.196264764991977,4.484972958860453,1.86e-06,1.2482e-05
41,0.02542,0.03945188674633017,177.20098375745945,63.2051237872343,22.572074272340554,8.693082769216056e-07,71.34360822160973,59.40287397123414,0.003939507602941546,11.474721811214842,4.590043854812393,1.86e-06,1.2482e-05
42,0.02604,0.04038481237272562,177.20087870392337,63.21109031947191,22.57565419168312,8.905109178221325e-07,73.04162753178849,59.40547537928974,0.004032701050168728,11.7532356997913,4.695097390882438,1.86e-06,1.2482109031947188e-05
43,0.02666,0.041317698705320614,177.20077366612858,63.21682319989878,22.57909391993925,9.117135587226595e-07,74.73683746074403,59.407974915155854,0.004126045657052594,12.031804204729664,4.800135185680119,1.86e-06,1.2482682319989876e-05
44,0.02728,0.042250547250259604,177.20066863951186,63.22233657981798,22.58240194789077,9.329161996231863e-07,76.43345674306765,59.410378748800625,0.004219308650599924,12.3104252348585,4.905161802395014,1.86e-06,1.2483e-05
45,0.0279,0.04318335942423525,177.20056362560769,63.227643463756465,22.585586078253865,9.541188405237135e-07,78.1319780040247,59.41269255019781,0.004312463005541829,12.58909682290112,5.010175706585869,1.86e-06,1.2483e-05
46,0.02852,0.04411613656160633,177.2004586265084,63.23275582486934,22.588653494921598,9.753214814242404e-07,79.82873691603936,59.413720000000005,0.004405711122665274,12.867817115649562,5.115174805861898,1.86e-06,1.2483275582486932e-05
47,0.02914,0.045048893571585126,177.20035363934971,63.23767329699865,22.591603978199185,9.965241223247672e-07,81.52400924711583,59.413720000000005,0.004499039246464645,13.14658424568667,5.220161964534782,1.86e-06,1.2483767329699864e-05
48,0.02976,0.04598115441566039,177.20024866176732,63.24239795175055,22.59467856622538,1.0177267632252943e-06,83.22087505012988,59.414765506963235,0.004592229853800834,13.425396367643247,5.3251395469415,1.86e-06,1.2484e-05
49,0.03038,0.04691292852406565,177.20014369651352,63.24695059334431,22.597865415341015,1.0389294041258213e-06,84.91926025523456,59.41675045869812,0.004685287997555484,13.704251852843866,5.430104800732806,1.86e-06,1.2484e-05
50,0.031,0.04784495338662326,177.20003874606238,63.251349476675784,22.60080968600547,1.0601320450263481e-06,86.61764546033925,59.41866837183064,0.004778371184628838,13.98314924550013,5.535055251879385,1.86e-06,1.2484e-05
51,0.03162,0.04877758213992856,177.19993380928344,63.25560265795008,22.603361594770032,1.0813346859268752e-06,88.31603066544392,59.42052275886623,0.004871514683478947,14.262087157520334,5.639992030832218,1.86e-06,1.2484e-05
52,0.03224,0.049710182686816956,177.19982888435177,63.25971762692609,22.60583057615563,1.102537326827402e-06,90.01441587054863,59.42231688533976,0.004964655365297783,14.541064272167704,5.744916962488787,1.86e-06,1.2484e-05
