step,distance,u,P[kPa],T,rho,m_dot,phase,x,h_in,P_loss_mix,LM_C,LM_X,Delta_P_2p,P_loss_all_phase,Q_release_mix,Delta_T,G_in_mix,G_pipe_mix,R_insu_mix,G_ex_mix
start,start,9.475543555004238,161.3215007046029,31.242998855260566,8.845283670315041,0.017921471560846003,,,,,,,,,,,,,,
0,0.0,7.727794840796018,161.2621042102775,31.241339411536217,-,0.011918720585165861,mix,0.8155075490097398,604.3397030879196,59.396494325395906,20.0,0.019490424885548616,59.396494325390805,59.396494325395906,0.0025544101785250845,0.001659443724349785,58.98846213712842,103.05375227333576,485.4955599291535,1.1224910551276333
1,0.15,7.730948826372219,161.19959785576637,31.230732894692437,-,0.011920213579915382,mix,0.8155586245573876,604.3454829023493,121.9028488365293,20.0,0.01948893520177061,62.50635451113932,121.9028488365293,0.005105410147410967,0.010606516843779445,50.11036190155125,103.05375227333576,485.4955599291535,1.1224910551276333
2,0.3,7.734270696211998,161.13707361799877,31.21957104567258,-,0.01192178606221449,mix,0.8156124159261753,604.3845435469666,184.4270866041188,20.0,0.019478952610703884,62.524237767577446,184.4270866041188,0.00763461338999543,0.011161849019856618,50.126209368993365,103.05375227333576,485.4955599291535,1.1224910551276333
3,0.44999999999999996,7.737595957281194,161.07453054600686,31.208406003214122,-,0.011923359167689667,mix,0.815666225062998,604.425694153446,246.97015859602834,20.0,0.019468445223837772,62.54307199191546,246.97015859602834,0.010140878679900198,0.011165042458458174,50.14289933172183,103.05375227333576,485.4955599291535,1.1224910551276333
4,0.6,7.740919822809625,161.01196861988134,31.19723759750127,-,0.011924932920634084,mix,0.8157200527952219,604.4668817356105,309.532084721548,20.0,0.019457937215497868,62.56192612552624,309.532084721548,0.012624199453176738,0.011168405712851381,50.15960518846021,103.05375227333576,485.4955599291535,1.1224910551276333
5,0.75,7.744232382817971,160.94938774006167,31.18606582497887,-,0.01192650732797657,mix,0.8157738993561322,604.506143940302,372.11296454121475,20.0,0.019447474847646116,62.58087981967539,372.11296454121475,0.0150845687934044,0.011171772522402534,50.17621607105429,103.05375227333576,485.4955599291535,1.1224910551276333
6,0.8999999999999999,7.747548376945081,160.8867876447837,31.17489066786817,-,0.011928082411735715,mix,0.8158277654949873,604.5394673559205,434.71305981918704,20.0,0.01943715287025726,62.60009527796102,434.71305981918704,0.017521979769879115,0.011175157110699274,50.19250459831015,103.05375227333576,485.4955599291535,1.1224910551276333
7,1.05,7.750867823911817,160.8241683136405,31.163712079425693,-,0.011929658178650689,mix,0.815881651438359,604.5728254590389,497.3323909623723,20.0,0.01942682986537749,62.619331143180126,497.3323909623723,0.019936425426088884,0.011178588442476212,50.208808929418865,103.05375227333576,485.4955599291535,1.1224910551276333
8,1.2,7.754190729650083,160.76152972611504,31.152530056007265,-,0.011931234629305199,mix,0.8159355572022823,604.6062184258012,559.9709784878651,20.0,0.019416505792172953,62.63858752550701,559.9709784878651,0.022327898709460284,0.011182023418427889,50.225129153300145,103.05375227333576,485.4955599291535,1.1224910551276333
9,1.3499999999999999,7.757612659191358,160.698871861654,31.141024023354646,-,0.011932857553843301,mix,0.8159910483920442,604.6396463024648,622.6288429489068,20.0,0.01940618064995662,62.65786446105402,622.6288429489068,0.02469639255992898,0.01150603265261907,50.24146529596907,103.05375227333576,485.4955599291535,1.1224910551276333
10,1.5,7.7610661846067694,160.6361943513984,31.129420715121114,-,0.011934494550061476,mix,0.8160470168994076,604.6736959789182,685.3063532045053,20.0,0.019395604874541936,62.67751025558527,685.3063532045053,0.027041241125905346,0.011603308233532061,50.2579149942607,103.05375227333576,485.4955599291535,1.1224910551276333
11,1.65,7.764523417611634,160.57349707201854,31.117813768777523,-,0.011936132238350888,mix,0.8161030052277544,604.7079537722291,748.0036325843539,20.0,0.019384955174710367,62.69727937985016,748.0036325843539,0.02936224450147635,0.011606946343590607,50.27440965588871,103.05375227333576,485.4955599291535,1.1224910551276333
12,1.7999999999999998,7.767984370421565,160.51078000174215,31.106203161484927,-,0.011937770622012933,mix,0.81615901348586,604.7422485079738,810.7207028607372,20.0,0.01937430447494009,62.71707027637775,810.7207028607372,0.03165939520905849,0.011610607292595887,50.290920917031016,103.05375227333576,485.4955599291535,1.1224910551276333
13,1.95,7.771439495348708,160.44804311872522,31.094588889211536,-,0.01193940970166296,mix,0.8162150416906554,604.7765802920385,873.4575858776807,20.0,0.019363652757028327,62.73688301694468,873.4575858776807,0.03393268572413125,0.01161427227339118,50.3074488326675,103.05375227333576,485.4955599291535,1.1224910551276333
14,2.1,7.7748873705149535,160.38528646475916,31.082970947912088,-,0.011941049481506124,mix,0.816271089981762,604.8116264592459,936.2142398437427,20.0,0.01935301489068726,62.756653966062515,936.2142398437427,0.03618210851498717,0.011617941299448376,50.32416280613656,103.05375227333576,485.4955599291535,1.1224910551276333
15,2.25,7.778338944152128,160.32251009111303,31.071349345325757,-,0.01194268996459274,mix,0.8163271584592927,604.8474867435223,998.9906134898774,20.0,0.019342393039892374,62.7763736461473,998.9906134898774,0.03840765604172825,0.011621602586330937,50.34108789675598,103.05375227333576,485.4955599291535,1.1224910551276333
16,2.4,7.781794218795833,160.25971397609538,31.059724090946872,-,0.011944331149609699,mix,0.8163832470742135,604.8833848183027,1061.786728507519,20.0,0.019331770148675546,62.79611501763132,1061.786728507519,0.04060932077908318,0.01162525437888462,50.358029998561086,103.05375227333576,485.4955599291535,1.1224910551276333
17,2.55,7.785236176215121,160.19689809799843,31.048163210017037,-,0.011945963321397217,mix,0.8164390238343315,604.9193206924396,1124.6026066044578,20.0,0.01932114622870007,62.81587809693403,1124.6026066044578,0.04278709522128953,0.011560880929835093,50.37498912054635,103.05375227333576,485.4955599291535,1.1224910551276333
18,2.6999999999999997,7.788594816531303,160.13406252922945,31.03694608892829,-,0.011947546576926607,mix,0.8164931253218926,604.9548520128042,1187.4381753734488,20.0,0.01931057880876247,62.83556876898604,1187.4381753734488,0.04494111165642935,0.011217121088748172,50.391808217352384,103.05375227333576,485.4955599291535,1.1224910551276333
19,2.85,7.791956985698444,160.07120772935846,31.0257254516481,-,0.011949130499202532,mix,0.8165472460060411,604.9881609080616,1250.2929752444325,20.0,0.01930030404512813,62.85479987097358,1250.2929752444325,0.047072076519807764,0.011220637280189294,50.40784167059164,103.05375227333576,485.4955599291535,1.1224910551276333
20,3.0,7.795322664055289,160.00833367766626,31.014501380242564,-,0.011950715076540738,mix,0.8166013854837633,605.0215048935556,1313.1670269366296,20.0,0.019290028233552935,62.8740516921845,1313.1670269366296,0.04917998258445222,0.011224071405536051,50.423890923579904,103.05375227333576,485.4955599291535,1.1224910551276333
