step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas
start,start,2.8302209014056285,158.14957975697598,59.91273527294612,20.65736763647305,0.021225704501357242,,,,,,,,,,
0,0.0,2.830479944541281,158.13935404911993,59.909128486035684,20.655477091621393,0.021225704501357245,gas,1.0,10.225707856065128,10.225707856065128,0.07035996515346604,0.0036067869104385863,1.3740019110844173,90.46181748049385,423.55360010093545,1.1818671562804803
1,0.15,2.8307764924221126,158.12912742336607,59.905522091597334,20.65331325495838,0.02122570450135724,gas,1.0,20.45233360992279,20.45233360992279,0.14071144581599218,0.00360639443834998,1.3739939284892146,90.46181748049385,423.55360010093545,1.1818671562804803
2,0.3,2.8310730701663056,158.11889980081745,59.90191608961891,20.651149653771323,0.021225704501357245,gas,1.0,30.679956158535788,30.679956158535788,0.21105444249511457,0.0036060019784258657,1.3739812019028717,90.46181748049385,423.55360010093545,1.1818671562804803
3,0.44999999999999996,2.831369677775854,158.1086711813753,59.898310480066925,20.64898628804013,0.021225704501357242,gas,1.0,40.908575600682525,40.908575600682525,0.2813889561143289,0.003605609551982525,1.373968476608318,90.46181748049385,423.55360010093545,1.1818671562804803
4,0.6,2.8316663152499753,158.098441529963,59.89470526294167,20.646823157764977,0.021225704501357242,gas,1.0,51.13822701299796,51.13822701299796,0.35171498693838205,0.003605217125254967,1.3739482359369406,90.46181748049385,423.55360010093545,1.1818671562804803
5,0.75,2.8319629825875148,158.0882108068086,59.89110043824792,20.644660262948722,0.021225704501357242,gas,1.0,61.36895016737981,61.36895016737981,0.4220325351440326,0.003604824693752562,1.3739194736387819,90.46181748049385,423.55360010093545,1.1818671562804803
6,0.8999999999999999,2.8322253240865654,158.0779790118043,59.88749600595219,20.642748002976077,0.021225704501357245,gas,1.0,71.60074517168687,71.60074517168687,0.49234160165511787,0.0036044322957309305,1.3738907143944927,90.46181748049385,423.55360010093545,1.1818671562804803
7,1.05,2.832472586332011,158.06774632082391,59.883891965970975,20.64094598298548,0.021225704501357242,gas,1.0,81.83343615208287,81.83343615208287,0.5626421883713038,0.0036040399812122814,1.3738730978168114,90.46181748049385,423.55360010093545,1.1818671562804803
8,1.2,2.8327198648360343,158.05751281114175,59.880288318248745,20.639144159124374,0.021225704501357245,gas,1.0,92.06694583423086,92.06694583423086,0.6329342966446679,0.0036036477222296526,1.3738603780943035,90.46181748049385,423.55360010093545,1.1818671562804803
