step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas
start,start,2.4173989561834968,137.75347220303598,55.63674542811219,18.36737271405608,0.009494085509187216,,,,,,,,,,
0,0.0,2.496600582870031,137.74854267095904,54.481380165528776,17.784690082764378,0.009494085509187214,gas,1.0,4.929532076959731,4.929532076959731,9.94648658417948,1.155365262583416,0.4385382529450885,51.52687613666788,0.0,3.6002651810139032
1,0.075,2.574984142243347,137.74345619816555,53.3786338385367,17.243316919268352,0.009494085509187216,gas,1.0,10.016004870441975,10.016004870441975,19.40629358084547,1.1027463269920759,0.43653408362247864,51.52687613666788,0.0,3.6002651810139032
2,0.15,2.65271842694392,137.73821457099814,52.3260502100822,16.73802510504108,0.009494085509187216,gas,1.0,15.257632037857547,15.257632037857547,28.405436225955906,1.0525836284544994,0.43464866239045546,51.52687613666788,0.0,3.6002651810139032
3,0.22499999999999998,2.729584211193388,137.73281917500034,51.3213561387945,16.266678069397223,0.009494085509187214,gas,1.0,20.653028035652824,20.653028035652824,36.96778903565846,1.0046940712877017,0.43284382976035357,51.52687613666788,0.0,3.6002651810139032
4,0.3,2.8053798448662794,137.72727170242067,50.36237130237089,15.827185651185438,0.009494085509187216,gas,1.0,26.20050061531947,26.20050061531947,45.115972011184525,0.9589848364236104,0.43112069950030485,51.52687613666788,0.0,3.6002651810139032
5,0.375,2.880057752776991,137.72157445786104,49.44699415270418,15.416797661081658,0.009494085509187216,gas,1.0,31.89774517493788,31.89774517493788,52.87141297741611,0.9153771496667105,0.4294804332569017,51.52687613666788,0.0,3.6002651810139032
6,0.44999999999999996,2.9536659358617747,137.71572974252945,48.57319260536332,15.032596302681636,0.009494085509187216,gas,1.0,37.74246050653164,37.74246050653164,60.25456473101556,0.8738015473408609,0.42793481217491636,51.52687613666788,0.0,3.6002651810139032
7,0.525,3.0261301470290127,137.70973975104008,47.73905818610825,14.672623274443296,0.009494085509187214,gas,1.0,43.73245199592202,43.73245199592202,67.2844042279518,0.834134419255065,0.42645995183408325,51.52687613666788,0.0,3.6002651810139032
8,0.6,3.0971652247348485,137.70360680792982,46.942747778994146,14.336099111597655,0.009494085509187216,gas,1.0,49.86539510617149,49.86539510617149,73.97912579210984,0.7963104071141061,0.42507184806753806,51.52687613666788,0.0,3.6002651810139032
9,0.6749999999999999,3.1669909840305728,137.69733381409281,46.1825426514348,14.020017060573918,0.009494085509187216,gas,1.0,56.13838894315995,56.13838894315995,80.35551586090563,0.7602051275593453,0.423739249296479,51.52687613666788,0.0,3.6002651810139032
10,0.75,3.235366633290756,137.69092322069866,45.45680143273364,13.723720573093441,0.009494085509187216,gas,1.0,62.54898233732092,62.54898233732092,86.42946088352087,0.7257412187011596,0.42245945980577976,51.52687613666788,0.0,3.6002651810139032
11,0.825,3.302298292121052,137.68437796032782,44.76391347711484,13.44556539084592,0.009494085509187216,gas,1.0,69.09424270817544,69.09424270817544,92.21631651544529,0.6928879556188008,0.421255836522655,51.52687613666788,0.0,3.6002651810139032
12,0.8999999999999999,3.3678252415623127,137.67770083376126,44.10239580964344,13.183958323857368,0.009494085509187214,gas,1.0,75.77136927473475,75.77136927473475,97.73023427002784,0.6615176674714007,0.42009611420360465,51.52687613666788,0.0,3.6002651810139032
13,0.975,3.431767371537232,137.67089479429725,43.47077319769147,12.938309279076579,0.009494085509187216,gas,1.0,82.57740873872535,82.57740873872535,102.98503295454509,0.6316226119519683,0.41901437756139037,51.52687613666788,0.0,3.6002651810139032
14,1.05,3.4942133739157737,137.6639629634983,42.86771341315824,12.707085365263294,0.009494085509187216,gas,1.0,89.50923953767051,89.50923953767051,107.99319935636275,0.6030597845332295,0.41795591447860525,51.52687613666788,0.0,3.6002651810139032
15,1.125,3.555300572791716,137.65690830822805,42.2918803429659,12.488752137186351,0.009494085509187214,gas,1.0,96.56389480794314,96.56389480794314,112.76711760560895,0.5758330701923455,0.41696982818680983,51.52687613666788,0.0,3.6002651810139032
16,1.2,3.6146750980242897,137.64973354020958,41.74204112190819,12.283612336572453,0.009494085509187214,gas,1.0,103.7386628263921,103.7386628263921,117.31813535556306,0.5498392210577094,0.41601779068629263,51.52687613666788,0.0,3.6002651810139032
17,1.275,3.6726236173835196,137.6424421973178,41.216988167416105,12.08979526696643,0.009494085509187214,gas,1.0,111.03000571820303,111.03000571820303,121.6572700365706,0.5250529544920823,0.41512477086181526,51.52687613666788,0.0,3.6002651810139032
18,1.3499999999999999,3.728929353421037,137.63503701286263,40.71560728933315,11.907242915733248,0.009494085509187213,gas,1.0,118.43519017336075,118.43519017336075,125.79470435074293,0.501380878082955,0.4142617190777306,51.52687613666788,0.0,3.6002651810139032
19,1.425,3.783749574243496,137.6275212034355,40.23681706173022,11.734726824692084,0.009494085509187214,gas,1.0,125.95099960049265,125.95099960049265,129.74019974779011,0.47879022760292855,0.41343762490336067,51.52687613666788,0.0,3.6002651810139032
20,1.5,3.8369988548135354,137.61989785316018,39.77958029601774,11.571874088805313,0.009494085509187216,gas,1.0,133.57434987579472,133.57434987579472,133.50306288091753,0.45723676571248006,0.4126567621266074,51.52687613666788,0.0,3.6002651810139032
21,1.575,3.8886514278622526,137.61216988875307,39.342915068998366,11.418166027599334,0.009494085509187216,gas,1.0,141.30231428291881,141.30231428291881,137.09206538286824,0.4366652270193754,0.4119108932418886,51.52687613666788,0.0,3.6002651810139032
22,1.65,3.9388069242520656,137.60434058772017,38.92590261948311,11.27277078584493,0.009494085509187216,gas,1.0,149.1316153158259,149.1316153158259,140.51540870743054,0.41701244951525496,0.41118186806932233,51.52687613666788,0.0,3.6002651810139032
23,1.7249999999999999,3.987438476048384,137.5964129436786,38.52761982326962,11.135285946980876,0.009494085509187216,gas,1.0,157.0592593573965,157.0592593573965,143.7812376128444,0.3982827962134934,0.41051654166567114,51.52687613666788,0.0,3.6002651810139032
24,1.7999999999999998,4.034583085356001,137.58838995046,38.147229114248205,11.00516873427445,0.009494085509187216,gas,1.0,165.0822525759868,165.0822525759868,146.89693696182675,0.3803907090214125,0.4098663834103642,51.52687613666788,0.0,3.6002651810139032
25,1.875,4.080037160014024,137.58027455935212,37.78391129322449,10.882564517289786,0.009494085509187216,gas,1.0,173.19764368387405,173.19764368387405,149.86968878958274,0.36331782102371335,0.40925391723463866,51.52687613666788,0.0,3.6002651810139032
26,1.95,4.124184485789917,137.572070051576,37.436907080077845,10.766072124023353,0.009494085509187216,gas,1.0,181.40215146000264,181.40215146000264,152.70613666679182,0.3470042131466471,0.4086500543985204,51.52687613666788,0.0,3.6002651810139032
27,2.025,4.166928390902141,137.56377910761753,37.1054496977805,10.655634909334145,0.009494085509187216,gas,1.0,189.69309541844996,189.69309541844996,155.4129415701803,0.33145738229734434,0.4081098309713382,51.52687613666788,0.0,3.6002651810139032
28,2.1,4.2081676130278485,137.55540441806053,36.78885813173861,10.551211764791123,0.009494085509187216,gas,1.0,198.06778497545747,198.06778497545747,157.99600979665027,0.3165915660418932,0.4075620227886378,51.52687613666788,0.0,3.6002651810139032
29,2.175,4.248248711527516,137.54694895077026,36.486449636227974,10.451663883592946,0.009494085509187216,gas,1.0,206.52325226573157,206.52325226573157,160.46122497779484,0.3024084955106332,0.40705083700137074,51.52687613666788,0.0,3.6002651810139032
30,2.25,4.2869836802198105,137.53841501010046,36.19758765925883,10.357228050962812,0.009494085509187216,gas,1.0,215.05719293552102,215.05719293552102,162.81407419644947,0.2888619769691445,0.4065562607008779,51.52687613666788,0.0,3.6002651810139032
31,2.3249999999999997,4.324085624962904,137.52980523823456,35.92164689479591,10.268359944230596,0.009494085509187214,gas,1.0,223.66696480143582,223.66696480143582,165.05991450988864,0.2759407644629164,0.40610447794363347,51.52687613666788,0.0,3.6002651810139032
32,2.4,4.360084939742339,137.52112285336142,35.6580580821755,10.183578586296148,0.009494085509187216,gas,1.0,232.34934967456502,232.34934967456502,167.2036298590141,0.2635888126204122,0.4056524834471418,51.52687613666788,0.0,3.6002651810139032
33,2.475,4.394857897201102,137.51237000842787,35.406263006229494,10.103004161993427,0.009494085509187216,gas,1.0,241.10219460813096,241.10219460813096,169.24997110120958,0.25179507594600636,0.40521947604007497,51.52687613666788,0.0,3.6002651810139032
34,2.55,4.428157569928669,137.50354910514972,35.16571792318223,10.027029735418301,0.009494085509187216,gas,1.0,249.92309788626153,249.92309788626153,171.2035527957334,0.24054508304726596,0.40482635458581473,51.52687613666788,0.0,3.6002651810139032
35,2.625,4.460340521150535,137.49466304122683,34.93592717097505,9.954681131686153,0.009494085509187216,gas,1.0,258.80916180915665,258.80916180915665,173.0685775715745,0.2297907522071796,0.4044292310160452,51.52687613666788,0.0,3.6002651810139032
36,2.6999999999999997,4.491410195642729,137.48571399907883,34.71640660735335,9.885818861494235,0.009494085509187213,gas,1.0,267.75820395717165,267.75820395717165,174.84914572005772,0.2195205636216997,0.40404965829525213,51.52687613666788,0.0,3.6002651810139032
37,2.775,4.521337526579379,137.47670435221258,34.50667730534036,9.820383319266194,0.009494085509187214,gas,1.0,276.7678508234094,276.7678508234094,176.54929384321466,0.20972930201298823,0.40372224640646864,51.52687613666788,0.0,3.6002651810139032
38,2.85,4.55016902060972,137.46763614008313,34.30631570152423,9.758157867472507,0.009494085509187214,gas,1.0,285.836062952847,285.836062952847,178.17259051293345,0.200361603816134,0.4033745851543874,51.52687613666788,0.0,3.6002651810139032
39,2.925,4.577880137279088,137.4585115053727,34.114899878306915,9.699089162518522,0.009494085509187214,gas,1.0,294.96069766327855,294.96069766327855,179.7225724000862,0.1914158232173122,0.4030411883199611,51.52687613666788,0.0,3.6002651810139032
40,3.0,4.604573778152185,137.44933270085664,33.93201815155595,9.642861590679221,0.009494085509187214,gas,1.0,304.13950217934325,304.13950217934325,181.2026990506754,0.18288172675096348,0.4027491359801845,51.52687613666788,0.0,3.6002651810139032
41,3.0749999999999997,4.630277658460052,137.44010179659182,33.757292640891194,9.589331548112705,0.009494085509187214,gas,1.0,313.3704064441554,313.3704064441554,182.61611395075246,0.17472551066475717,0.4024528539080218,51.52687613666788,0.0,3.6002651810139032
42,3.15,4.654967433195199,137.4308205839626,33.590362134862005,9.538470088998043,0.009494085509187214,gas,1.0,322.6516190733819,322.6516190733819,183.96584731098005,0.16693050602918902,0.4021612328723936,51.52687613666788,0.0,3.6002651810139032
43,3.225,4.678701201556819,137.42149104554017,33.43086857088991,9.490084045550521,0.009494085509187216,gas,1.0,331.98115749581484,331.98115749581484,185.25487436623203,0.15949356397209158,0.40190300313114913,51.52687613666788,0.0,3.6002651810139032
44,3.3,4.701531268558622,137.4121152547544,33.27848127692283,9.444001345630694,0.009494085509187214,gas,1.0,341.3569482815801,341.3569482815801,186.48594367541946,0.15238729396708095,0.40164891924860435,51.52687613666788,0.0,3.6002651810139032
45,3.375,4.72345571411437,137.40269477001988,33.13288653997188,9.400165961991554,0.009494085509187216,gas,1.0,350.7774330161046,350.7774330161046,187.66166103337264,0.14559473695095448,0.4013920691865502,51.52687613666788,0.0,3.6002651810139032
46,3.4499999999999997,4.744520005942482,137.39323156804898,32.99377317774338,9.358431953323013,0.009494085509187216,gas,1.0,360.24063498701435,360.24063498701435,188.78460442357616,0.13911336222849968,0.40116762919098153,51.52687613666788,0.0,3.6002651810139032
