step,distance,u,P[kPa],T,rho,m_dot,phase,x,P_loss_gas,P_loss_all_phase,Q_release_gas,Delta_T,G_in_gas,G_pipe_gas,R_insu_gas,G_ex_gas
start,start,2.4084947918512376,205.68981816833178,71.79111647732134,28.256781534124922,0.014552116912929784,,,,,,,,,,
0,0.0,2.408862466391824,205.67611312205494,71.7849551226725,28.25246858587073,0.01455211691292978,gas,1.0,13.705046276852954,13.705046276852954,0.08578601585544521,0.006161354648838824,1.3171594688969575,103.05375227333576,485.4955599291535,1.1224910551276333
1,0.15,2.4092302065033926,205.66240601342608,71.77879455029085,28.248156185203577,0.014552116912929784,gas,1.0,27.412154905701755,27.412154905701755,0.1715593828419823,0.006160572381645579,1.3171471409378868,103.05375227333576,485.4955599291535,1.1224910551276333
2,0.3,2.4095980122306475,205.64869681225198,71.77263475957261,28.243844331700803,0.014552116912929784,gas,1.0,41.12135607979144,41.12135607979144,0.25732010204608746,0.00615979071824313,1.317129691997417,103.05375227333576,485.4955599291535,1.1224910551276333
3,0.44999999999999996,2.4099959621216125,205.6349855181593,71.76647571877339,28.239180575018683,0.014552116912929784,gas,1.0,54.83265017246595,54.83265017246595,0.34306817204048917,0.006159040799218474,1.3170823582773596,103.05375227333576,485.4955599291535,1.1224910551276333
4,0.6,2.41041648400027,205.62127205380955,71.76031745040672,28.234253960325336,0.014552116912929784,gas,1.0,68.54611452223617,68.54611452223617,0.4288035960316071,0.006158268366675657,1.3170514445517953,103.05375227333576,485.4955599291535,1.1224910551276333
5,0.75,2.4107872248376423,205.6075563612077,71.7541599712763,28.229911979893394,0.014552116912929786,gas,1.0,82.26180712407222,82.26180712407222,0.5145263768509352,0.006157479130422416,1.3170328043986324,103.05375227333576,485.4955599291535,1.1224910551276333
6,0.8999999999999999,2.411155322979587,205.5938385675129,71.74800324392533,28.225602270747725,0.014552116912929784,gas,1.0,95.97960081888596,95.97960081888596,0.6002365133601062,0.006156727350969504,1.316986965234868,103.05375227333576,485.4955599291535,1.1224910551276333
7,1.05,2.4115234879392577,205.58011873267046,71.74184727904986,28.2212930953349,0.014552116912929786,gas,1.0,109.69943566134316,109.69943566134316,0.6859340078972547,0.006155964875460995,1.3169489530072074,103.05375227333576,485.4955599291535,1.1224910551276333
8,1.2,2.4118917181369617,205.5663969675563,71.73569210321375,28.216984472249617,0.014552116912929784,gas,1.0,123.42120077548316,123.42120077548316,0.7716188639936556,0.006155175836113358,1.3169303179263583,103.05375227333576,485.4955599291535,1.1224910551276333
9,1.3499999999999999,2.4122639662329246,205.55267315659674,71.72953771647514,28.212630173180095,0.014552116912929784,gas,1.0,137.1450117350323,137.1450117350323,0.8572910814755705,0.006154386738614903,1.3168939923344316,103.05375227333576,485.4955599291535,1.1224910551276333
10,1.5,2.4126849606485266,205.53894722752284,71.72338411584656,28.207707292677224,0.014552116912929784,gas,1.0,150.8709408089344,150.8709408089344,0.9429506611691313,0.00615360062857917,1.316849830780639,103.05375227333576,485.4955599291535,1.1224910551276333
11,1.65,2.4130823609248013,205.52521890296507,71.71723126467293,28.20306188527103,0.014552116912929784,gas,1.0,164.59926536673447,164.59926536673447,1.0285976043718346,0.006152851173624185,1.3168025407818842,103.05375227333576,485.4955599291535,1.1224910551276333
12,1.7999999999999998,2.4134508821488323,205.51148839127623,71.71107918061517,28.198755426430598,0.014552116912929784,gas,1.0,178.3297770555655,178.3297770555655,1.114231913931053,0.006152084057760021,1.3167681510725957,103.05375227333576,485.4955599291535,1.1224910551276333
13,1.95,2.4138194686834447,205.49775594737062,71.70492788525831,28.19444951968079,0.01455211691292978,gas,1.0,192.06222096117563,192.06222096117563,1.1998535930202086,0.0061512953568581,1.3167495241303506,103.05375227333576,485.4955599291535,1.1224910551276333
14,2.1,2.414188122486039,205.48402143511436,71.69877734608849,28.190144142261914,0.014552116912929784,gas,1.0,205.7967332174303,205.7967332174303,1.2854626408645866,0.0061505391698233325,1.3167072762826517,103.05375227333576,485.4955599291535,1.1224910551276333
15,2.25,2.4145568435149385,205.47028485797549,71.69262756396836,28.185839294777843,0.014552116912929784,gas,1.0,219.53331035628798,219.53331035628798,1.3710590590857004,0.006149782120132841,1.3166657020695478,103.05375227333576,485.4955599291535,1.1224910551276333
16,2.4,2.41495580602459,205.45654634753953,71.68647857035211,28.181182856281687,0.014552116912929784,gas,1.0,233.27182079225895,233.27182079225895,1.4566428515646,0.006148993616250209,1.3166470801983254,103.05375227333576,485.4955599291535,1.1224910551276333
17,2.55,2.4153773721495404,205.44280563744368,71.68033034265164,28.17626427412131,0.014552116912929784,gas,1.0,247.01253088811063,247.01253088811063,1.5422140182587034,0.006148227700464304,1.3166120597231192,103.05375227333576,485.4955599291535,1.1224910551276333
18,2.6999999999999997,2.4157491509920064,205.42906252870438,71.67418286400863,28.17192800480603,0.014552116912929784,gas,1.0,260.75563962740125,260.75563962740125,1.6277725595017158,0.006147478643015347,1.3165648073192218,103.05375227333576,485.4955599291535,1.1224910551276333
19,2.85,2.4161181635312787,205.4153174604813,71.66803617156017,28.16762532009211,0.014552116912929784,gas,1.0,274.5007078504714,274.5007078504714,1.713318479577639,0.00614669244845345,1.316544652056379,103.05375227333576,485.4955599291535,1.1224910551276333
20,3.0,2.4164872414767538,205.40157040476598,71.66189026740665,28.163323187184638,0.014552116912929784,gas,1.0,288.2477635657997,288.2477635657997,1.7988517794399415,0.006145904153527226,1.3165179724642817,103.05375227333576,485.4955599291535,1.1224910551276333
21,3.15,2.4168563848334537,205.38782124909744,71.65574515160228,28.159021606121573,0.014552116912929784,gas,1.0,301.9969192343415,301.9969192343415,1.8843724589680246,0.006145115804372381,1.3164741202117223,103.05375227333576,485.4955599291535,1.1224910551276333
22,3.3,2.4172255952558084,205.37406999310355,71.64960079675615,28.15472055772928,0.014552116912929784,gas,1.0,315.7481752282474,315.7481752282474,1.9698805195444344,0.006144354846128408,1.316427930607217,103.05375227333576,485.4955599291535,1.1224910551276333
23,3.4499999999999997,2.417594873333233,205.36031664710686,71.64345719322648,28.15042003525851,0.014552116912929784,gas,1.0,329.5015212249418,329.5015212249418,2.0553759628157175,0.0061436035296651426,1.3163825649928986,103.05375227333576,485.4955599291535,1.1224910551276333
24,3.5999999999999996,2.417987288615605,205.34656136478202,71.63731437766529,28.14585150213221,0.014552116912929786,gas,1.0,343.25680354976794,343.25680354976794,2.14085879303476,0.006142815561190673,1.316363956328291,103.05375227333576,485.4955599291535,1.1224910551276333
25,3.75,2.4184094887960437,205.3328039424837,71.63117233284311,28.140937866274484,0.014552116912929784,gas,1.0,357.01422584807733,357.01422584807733,2.226329010553357,0.006142044822183834,1.316332842505969,103.05375227333576,485.4955599291535,1.1224910551276333
26,3.9,2.4187890679260926,205.31904411802793,71.62503103661385,28.136521725629695,0.014552116912929784,gas,1.0,370.77405030385125,370.77405030385125,2.3117866153248676,0.0061412962292592965,1.3162856337812454,103.05375227333576,485.4955599291535,1.1224910551276333
27,4.05,2.4191586380399905,205.30528226724513,71.61889052066556,28.132223364465887,0.014552116912929784,gas,1.0,384.53590108666685,384.53590108666685,2.3972316112302345,0.006140515948288794,1.3162615707497893,103.05375227333576,485.4955599291535,1.1224910551276333
28,4.2,2.419528274102187,205.29151844879328,71.61275078533157,28.127925549732094,0.014552116912929784,gas,1.0,398.29971953851054,398.29971953851054,2.482663999901621,0.006139735333988483,1.316237802371743,103.05375227333576,485.4955599291535,1.1224910551276333
29,4.35,2.4198979780604577,205.27775252729472,71.60661179841799,28.12362825889258,0.014552116912929784,gas,1.0,412.06564103707206,412.06564103707206,2.5680837805711394,0.006138986913583722,1.31619060959754,103.05375227333576,485.4955599291535,1.1224910551276333
30,4.5,2.420267748618749,205.26398450236312,71.60047358160978,28.119331507126827,0.014552116912929784,gas,1.0,425.83366596867563,425.83366596867563,2.6534909549655468,0.006138216808210473,1.3161452880381963,103.05375227333576,485.4955599291535,1.1224910551276333
31,4.6499999999999995,2.420686350087351,205.25021437361957,71.5943361524885,28.114468921990774,0.014552116912929786,gas,1.0,439.60379471222404,439.60379471222404,2.7388855248205184,0.006137429121281457,1.3161014864098468,103.05375227333576,485.4955599291535,1.1224910551276333
32,4.8,2.42109361340494,205.23644201534756,71.5881995108142,28.10973965756992,0.014552116912929784,gas,1.0,453.3761529842159,453.3761529842159,2.8242674941078354,0.006136641674288512,1.3160809463895544,103.05375227333576,485.4955599291535,1.1224910551276333
33,4.95,2.421463607689926,205.22266745644788,71.58206364500813,28.105444551505666,0.01455211691292978,gas,1.0,467.1507118839072,467.1507118839072,2.909636863793091,0.006135865806072616,1.3160539684689467,103.05375227333576,485.4955599291535,1.1224910551276333
34,5.1,2.421833669945093,205.2088907925044,71.57592852733012,28.101149969131054,0.014552116912929784,gas,1.0,480.9273758273921,480.9273758273921,2.994993633427317,0.0061351176780135575,1.3160068034006662,103.05375227333576,485.4955599291535,1.1224910551276333
35,5.25,2.4222037986257265,205.19511213253088,71.56979418355121,28.096855928485812,0.014552116912929784,gas,1.0,494.70603580091847,494.70603580091847,3.0803378087246776,0.006134343778910534,1.3160009334168106,103.05375227333576,485.4955599291535,1.1224910551276333
36,5.3999999999999995,2.4225739930336316,205.18133152609414,71.56366062538751,28.092562437771246,0.014552116912929784,gas,1.0,508.48664223763626,508.48664223763626,3.165669393179394,0.006133558163696762,1.316013902929408,103.05375227333576,485.4955599291535,1.1224910551276333
37,5.55,2.422944255451222,205.16754881351613,71.55752781517936,28.088269470625544,0.014552116912929784,gas,1.0,522.2693548156531,522.2693548156531,3.250988382324118,0.00613281020815748,1.3159667541720375,103.05375227333576,485.4955599291535,1.1224910551276333
38,5.7,2.4233145849394013,205.15376406087154,71.55139576864775,28.08397703805342,0.014552116912929784,gas,1.0,536.0541074602515,536.0541074602515,3.336294778860021,0.006132046531604374,1.3159311235893412,103.05375227333576,485.4955599291535,1.1224910551276333
39,5.85,2.423725854959687,205.1399773662091,71.54526450908423,28.079211607267375,0.01455211691292978,gas,1.0,549.8408021226642,549.8408021226642,3.4215885860794497,0.006131259563517233,1.3159125420486693,103.05375227333576,485.4955599291535,1.1224910551276333
40,6.0,2.424141786772305,205.1261883692912,71.53913400620945,28.0743938043466,0.014552116912929784,gas,1.0,563.6297990405583,563.6297990405583,3.506869803368967,0.006130502874782451,1.3158719093298512,103.05375227333576,485.4955599291535,1.1224910551276333
41,6.1499999999999995,2.4245123435708584,205.1123970060651,71.53300425661433,28.070102979630015,0.014552116912929784,gas,1.0,577.4211622666917,577.4211622666917,3.5921384316744676,0.006129749595118028,1.31582525898773,103.05375227333576,485.4955599291535,1.1224910551276333
42,6.3,2.4248829660792115,205.09860353467704,71.52687529397303,28.065812705781102,0.014552116912929784,gas,1.0,591.2146336547448,591.2146336547448,3.6773944728368315,0.006128962641298585,1.3157815125348231,103.05375227333576,485.4955599291535,1.1224910551276333
43,6.45,2.425253654315598,205.08480803882935,71.52074711812156,28.061522982685066,0.01455211691292978,gas,1.0,605.0101295024215,605.0101295024215,3.762637929769832,0.006128175851472406,1.315750601496114,103.05375227333576,485.4955599291535,1.1224910551276333
44,6.6,2.425624408298047,205.07101059900475,71.51461972889945,28.057233810229583,0.01455211691292978,gas,1.0,618.8075693270366,618.8075693270366,3.8478688053362062,0.006127389222115198,1.3157320280860856,103.05375227333576,485.4955599291535,1.1224910551276333
45,6.75,2.4259952301157526,205.0572110700442,71.50849309193228,28.05294516435257,0.014552116912929784,gas,1.0,632.6070982875826,632.6070982875826,3.933087098619548,0.006126636967167087,1.3156884020954946,103.05375227333576,485.4955599291535,1.1224910551276333
46,6.8999999999999995,2.426366119488927,205.04340947202215,71.50236721200946,28.048657048406614,0.014552116912929784,gas,1.0,646.4086963096343,646.4086963096343,4.018292811523102,0.006125879922819877,1.3156483196071385,103.05375227333576,485.4955599291535,1.1224910551276333
47,7.05,2.4267695928059125,205.02960592893527,71.49624211851892,28.043993694815136,0.014552116912929784,gas,1.0,660.2122393965255,660.2122393965255,4.103485947775527,0.006125093490538802,1.3156297512624928,103.05375227333576,485.4955599291535,1.1224910551276333
48,7.199999999999999,2.427193639041426,205.01580015424793,71.49011778743767,28.03909422995013,0.014552116912929784,gas,1.0,674.0180140838493,674.0180140838493,4.188666507224009,0.006124331081252876,1.315593685532641,103.05375227333576,485.4955599291535,1.1224910551276333
49,7.35,2.427565775720957,205.0019919671821,71.48399420362108,28.034795942534746,0.014552116912929784,gas,1.0,687.8262011496699,687.8262011496699,4.2738344903214625,0.006123583816588507,1.3155466019865105,103.05375227333576,485.4955599291535,1.1224910551276333
50,7.5,2.4279369586455535,204.98818166304875,71.47787140546797,28.03050998382756,0.014552116912929786,gas,1.0,701.636505283037,701.636505283037,4.358989898937456,0.0061227981531146725,1.3155028307360865,103.05375227333576,485.4955599291535,1.1224910551276333
