T,P_sat,rho_l,rho_g,Cp_l,Cp_g,lambda,k_l,k_g,mu_l,mu_g
250,15259,1372.6,0.96834,1220,746.41,216630,0.089406,0.0069686,0.0010251,9.31E-06
250.05,15301,1372.5,0.97083,1220,746.48,216610,0.08939,0.0069722,0.001024,9.31E-06
250.1,15343,1372.4,0.97333,1220,746.56,216580,0.089374,0.0069758,0.0010229,9.31E-06
250.15,15385,1372.3,0.97584,1220,746.64,216560,0.089358,0.0069794,0.0010218,9.31E-06
250.2,15427,1372.2,0.97835,1220,746.71,216530,0.089342,0.006983,0.0010208,9.31E-06
250.25,15470,1372.1,0.98086,1220,746.79,216510,0.089326,0.0069866,0.0010197,9.32E-06
250.3,15512,1371.9,0.98339,1220,746.87,216480,0.08931,0.0069901,0.0010187,9.32E-06
250.35,15555,1371.8,0.98591,1220,746.94,216460,0.089294,0.0069937,0.0010176,9.32E-06
250.4,15598,1371.7,0.98844,1220,747.02,216430,0.089278,0.0069973,0.0010165,9.32E-06
250.45,15640,1371.6,0.99098,1220,747.1,216410,0.089262,0.0070009,0.0010155,9.32E-06
250.5,15683,1371.5,0.99352,1220.1,747.17,216380,0.089246,0.0070045,0.0010144,9.33E-06
250.55,15726,1371.4,0.99607,1220.1,747.25,216350,0.08923,0.0070081,0.0010134,9.33E-06
250.6,15769,1371.3,0.99862,1220.1,747.32,216330,0.089214,0.0070117,0.0010123,9.33E-06
250.65,15812,1371.2,1.0012,1220.1,747.4,216300,0.089198,0.0070153,0.0010113,9.33E-06
250.7,15856,1371.1,1.0037,1220.1,747.48,216280,0.089182,0.0070189,0.0010102,9.33E-06
250.75,15899,1371,1.0063,1220.1,747.55,216250,0.089166,0.0070225,0.0010092,9.33E-06
250.8,15943,1370.9,1.0089,1220.1,747.63,216230,0.08915,0.0070261,0.0010081,9.34E-06
250.85,15986,1370.8,1.0115,1220.1,747.71,216200,0.089134,0.0070297,0.0010071,9.34E-06
250.9,16030,1370.6,1.014,1220.1,747.78,216180,0.089118,0.0070333,0.0010061,9.34E-06
250.95,16074,1370.5,1.0166,1220.1,747.86,216150,0.089103,0.0070369,0.001005,9.34E-06
251,16117,1370.4,1.0192,1220.1,747.94,216130,0.089087,0.0070405,0.001004,9.34E-06
