P_sat,T
15259,250
15301,250.05
15343,250.1
15385,250.15
15427,250.2
15470,250.25
15512,250.3
15555,250.35
15598,250.4
15640,250.45
15683,250.5
15726,250.55
15769,250.6
15812,250.65
15856,250.7
15899,250.75
15943,250.8
15986,250.85
16030,250.9
16074,250.95
16117,251
16161,251.05
16206,251.1
16250,251.15
16294,251.2
16338,251.25
16383,251.3
16427,251.35
16472,251.4
16517,251.45
16562,251.5
16607,251.55
16652,251.6
16697,251.65
16742,251.7
16787,251.75
16833,251.8
16878,251.85
16924,251.9
16970,251.95
17016,252
17062,252.05
17108,252.1
17154,252.15
17200,252.2
17246,252.25
17293,252.3
17339,252.35
17386,252.4
17433,252.45
17480,252.5
17527,252.55
17574,252.6
17621,252.65
17668,252.7
17716,252.75
17763,252.8
17811,252.85
17859,252.9
17906,252.95
17954,253
18002,253.05
18050,253.1
18099,253.15
18147,253.2
18195,253.25
18244,253.3
18293,253.35
18341,253.4
18390,253.45
18439,253.5
18488,253.55
18538,253.6
18587,253.65
18636,253.7
18686,253.75
18735,253.8
18785,253.85
18835,253.9
18885,253.95
18935,254
18985,254.05
19035,254.1
19086,254.15
19136,254.2
19187,254.25
19237,254.3
19288,254.35
19339,254.4
19390,254.45
19441,254.5
19493,254.55
19544,254.6
19595,254.65
19647,254.7
19699,254.75
19751,254.8
19802,254.85
19854,254.9
19907,254.95
19959,255
20011,255.05
20064,255.1
20116,255.15
20169,255.2
20222,255.25
20275,255.3
20328,255.35
20381,255.4
20434,255.45
20488,255.5
20541,255.55
20595,255.6
20648,255.65
20702,255.7
20756,255.75
20810,255.8
20864,255.85
20919,255.9
20973,255.95
21028,256
21082,256.05
21137,256.1
21192,256.15
21247,256.2
21302,256.25
21357,256.3
21412,256.35
21468,256.4
21523,256.45
21579,256.5
21635,256.55
21691,256.6
21747,256.65
21803,256.7
21859,256.75
21916,256.8
21972,256.85
22029,256.9
22086,256.95
22142,257
22199,257.05
22257,257.1
22314,257.15
22371,257.2
22429,257.25
22486,257.3
22544,257.35
22602,257.4
22660,257.45
22718,257.5
22776,257.55
22834,257.6
22893,257.65
22951,257.7
23010,257.75
23069,257.8
23128,257.85
23187,257.9
23246,257.95
23305,258
23364,258.05
23424,258.1
23484,258.15
23543,258.2
23603,258.25
23663,258.3
23723,258.35
23784,258.4
23844,258.45
23905,258.5
23965,258.55
24026,258.6
24087,258.65
24148,258.7
24209,258.75
24270,258.8
24332,258.85
24393,258.9
24455,258.95
24517,259
24579,259.05
