T,P_sat,rho_l,rho_g,Cp_l,Cp_g,lambda,k_l,k_g,mu_l,mu_g,sigma
250,265,825.96,0.0058757,2125.1,1264.8,966890,0.17511,0.011151,0.0031588,7.2715E-06,0.026548
251,288.61,825.11,0.0063741,2130.2,1267.9,966020,0.17481,0.011228,0.0030793,7.3031E-06,0.026453
252,314.1,824.26,0.0069097,2135.4,1271,965150,0.17452,0.011306,0.0030023,7.3346E-06,0.026357
253,341.59,823.41,0.0074849,2140.6,1274.1,964270,0.17422,0.011383,0.0029276,7.3662E-06,0.026262
254,371.2,822.56,0.0081022,2145.8,1277.2,963390,0.17393,0.011461,0.0028552,7.3977E-06,0.026166
255,403.1,821.71,0.0087641,2151.2,1280.4,962510,0.17365,0.011539,0.0027851,7.4292E-06,0.026071
256,437.42,820.86,0.0094735,2156.5,1283.5,961630,0.17336,0.011618,0.002717,7.4606E-06,0.025975
257,474.32,820.01,0.010233,2161.9,1286.7,960740,0.17308,0.011696,0.0026511,7.4921E-06,0.02588
258,513.99,819.16,0.011046,2167.4,1289.9,959850,0.1728,0.011775,0.0025871,7.5236E-06,0.025784
259,556.58,818.32,0.011916,2172.9,1293.1,958960,0.17252,0.011855,0.002525,0.000007555,0.025688
260,602.29,817.47,0.012846,2178.5,1296.3,958060,0.17225,0.011935,0.0024648,7.5864E-06,0.025593
261,651.32,816.62,0.013839,2184.2,1299.6,957160,0.17198,0.012015,0.0024063,7.6178E-06,0.025497
262,703.87,815.77,0.014899,2189.9,1302.8,956260,0.17171,0.012095,0.0023496,7.6492E-06,0.025401
263,760.16,814.93,0.016031,2195.6,1306.1,955350,0.17144,0.012176,0.0022945,7.6806E-06,0.025306
264,820.41,814.08,0.017237,2201.4,1309.4,954440,0.17118,0.012257,0.0022411,7.7119E-06,0.02521
265,884.87,813.23,0.018522,2207.3,1312.7,953530,0.17092,0.012339,0.0021892,7.7433E-06,0.025114
266,953.79,812.39,0.019891,2213.2,1316.1,952610,0.17066,0.012421,0.0021388,7.7746E-06,0.025019
267,1027.4,811.54,0.021348,2219.2,1319.5,951690,0.1704,0.012503,0.0020898,7.8059E-06,0.024923
268,1106.1,810.69,0.022898,2225.2,1322.8,950770,0.17015,0.012585,0.0020422,7.8372E-06,0.024827
269,1190,809.85,0.024546,2231.3,1326.2,949840,0.1699,0.012668,0.001996,7.8685E-06,0.024731
270,1279.5,809,0.026297,2237.4,1329.7,948910,0.16965,0.012751,0.0019511,7.8998E-06,0.024635
271,1375,808.16,0.028156,2243.6,1333.1,947970,0.1694,0.012835,0.0019074,0.000007931,0.02454
272,1476.6,807.31,0.030129,2249.9,1336.6,947030,0.16916,0.012918,0.001865,7.9622E-06,0.024444
273,1584.9,806.46,0.032223,2256.2,1340,946090,0.16891,0.013003,0.0018237,7.9934E-06,0.024348
274,1700.1,805.62,0.034442,2262.6,1343.6,945140,0.16867,0.013087,0.0017836,8.0246E-06,0.024252
275,1822.6,804.77,0.036794,2269,1347.1,944180,0.16844,0.013172,0.0017446,8.0558E-06,0.024156
276,1952.9,803.92,0.039285,2275.5,1350.6,943230,0.1682,0.013257,0.0017067,0.000008087,0.02406
277,2091.3,803.07,0.041921,2282,1354.2,942260,0.16797,0.013342,0.0016698,8.1181E-06,0.023964
278,2238.3,802.23,0.044711,2288.6,1357.8,941300,0.16773,0.013428,0.0016339,8.1492E-06,0.023868
279,2394.2,801.38,0.04766,2295.3,1361.4,940330,0.1675,0.013514,0.001599,8.1804E-06,0.023772
280,2559.7,800.53,0.050778,2302,1365.1,939350,0.16728,0.013601,0.001565,8.2114E-06,0.023676
281,2735.1,799.68,0.054072,2308.8,1368.7,938370,0.16705,0.013687,0.0015319,8.2425E-06,0.02358
282,2921,798.83,0.05755,2315.7,1372.4,937380,0.16683,0.013775,0.0014998,8.2736E-06,0.023484
283,3117.9,797.99,0.06122,2322.6,1376.1,936390,0.1666,0.013862,0.0014684,8.3046E-06,0.023388
284,3326.4,797.14,0.065092,2329.5,1379.9,935390,0.16638,0.01395,0.0014379,8.3356E-06,0.023292
