P_sat,T
265,250
288.61,251
314.1,252
341.59,253
371.2,254
403.1,255
437.42,256
474.32,257
513.99,258
556.58,259
602.29,260
651.32,261
703.87,262
760.16,263
820.41,264
884.87,265
953.79,266
1027.4,267
1106.1,268
1190,269
1279.5,270
1375,271
1476.6,272
1584.9,273
1700.1,274
1822.6,275
1952.9,276
2091.3,277
2238.3,278
2394.2,279
2559.7,280
2735.1,281
2921,282
3117.9,283
3326.4,284
3546.9,285
3780.2,286
4026.8,287
4287.3,288
4562.5,289
4852.9,290
5159.4,291
5482.6,292
5823.3,293
6182.3,294
6560.4,295
6958.4,296
7377.3,297
7817.9,298
8281.1,299
8767.9,300
9279.4,301
9816.5,302
10380,303
10972,304
11592,305
12243,306
12924,307
13639,308
14387,309
15169,310
15989,311
16846,312
17742,313
18679,314
19658,315
20680,316
21748,317
22862,318
24025,319
25238,320
26503,321
27822,322
29196,323
30627,324
32118,325
33670,326
35285,327
36966,328
38713,329
40531,330
42420,331
44383,332
46422,333
48540,334
50738,335
53020,336
55388,337
57844,338
60392,339
63033,340
65770,341
68606,342
71544,343
74587,344
77737,345
80998,346
84372,347
87863,348
91473,349
95207,350
99066,351
103050,352
107180,353
111430,354
115830,355
120370,356
125050,357
129890,358
134880,359
140030,360
145330,361
150810,362
156450,363
162260,364
168250,365
174420,366
180780,367
187320,368
194060,369
200990,370
208130,371
215470,372
223020,373
230790,374
238770,375
246980,376
255420,377
264090,378
273000,379
282150,380
291540,381
301190,382
311100,383
321260,384
331700,385
342400,386
353380,387
364640,388
376190,389
388030,390
400170,391
412610,392
425360,393
438420,394
451800,395
465510,396
479540,397
493910,398
508620,399
523680,400
539090,401
554850,402
570980,403
587470,404
604350,405
621600,406
639240,407
657260,408
675690,409
694520,410
713760,411
733420,412
753500,413
774010,414
794950,415
816330,416
838150,417
860430,418
883160,419
906360,420
930040,421
954180,422
978810,423
1003900,424
1029500,425
1055700,426
1082300,427
1109400,428
1137100,429
1165300,430
1194000,431
1223300,432
1253100,433
1283400,434
1314400,435
1345800,436
1377900,437
1410600,438
1443800,439
1477600,440
1512000,441
1547000,442
1582700,443
1618900,444
1655800,445
1693300,446
1731500,447
1770300,448
1809800,449
1849900,450
1890700,451
1932100,452
1974300,453
2017100,454
2060700,455
2104900,456
2149800,457
2195500,458
2241900,459
2289000,460
2336900,461
2385500,462
2434900,463
2485000,464
2535900,465
2587600,466
2640100,467
2693300,468
2747400,469
2802300,470
2858000,471
2914500,472
2971900,473
3030100,474
3089200,475
3149100,476
3209900,477
3271600,478
3334100,479
3397600,480
3462000,481
3527300,482
3593500,483
3660700,484
3728800,485
3797800,486
3867900,487
3938900,488
4010900,489
4083900,490
4157900,491
4233000,492
4309000,493
4386200,494
4464400,495
4543700,496
4624000,497
4705500,498
4788100,499
4871900,500
4956800,501
5042800,502
5130100,503
5218600,504
5308300,505
5399300,506
5491600,507
5585200,508
5680200,509
5776700,510
