P_sat,T
991.82,280
1062.1,281
1136.7,282
1215.9,283
1299.9,284
1389,285
1483.5,286
1583.5,287
1689.4,288
1801.5,289
1920,290
2045.3,291
2177.8,292
2317.7,293
2465.4,294
2621.2,295
2785.6,296
2959,297
3141.7,298
3334.2,299
3536.8,300
3750.1,301
3974.5,302
4210.5,303
4458.6,304
4719.3,305
4993.2,306
5280.7,307
5582.5,308
5899.1,309
6231.1,310
6579.2,311
6944,312
7326.1,313
7726.2,314
8145.1,315
8583.4,316
9041.8,317
9521.2,318
10022,319
10546,320
11093,321
11664,322
12260,323
12882,324
13531,325
14208,326
14914,327
15649,328
16415,329
17213,330
18044,331
18909,332
19808,333
20744,334
21718,335
22730,336
23781,337
24874,338
26009,339
27188,340
28411,341
29681,342
30999,343
32366,344
33783,345
35253,346
36776,347
38354,348
39989,349
41682,350
43435,351
45249,352
47127,353
49070,354
51080,355
53158,356
55307,357
57527,358
59822,359
62194,360
64643,361
67172,362
69783,363
72478,364
75260,365
78129,366
81090,367
84142,368
87290,369
90535,370
93880,371
97326,372
100880,373
104530,374
108300,375
112180,376
116170,377
120280,378
124500,379
128850,380
133330,381
137930,382
142660,383
147520,384
152520,385
157660,386
162930,387
168360,388
173930,389
179640,390
185520,391
191540,392
197730,393
204080,394
210600,395
217280,396
224140,397
231170,398
238380,399
245770,400
253350,401
261110,402
269070,403
277220,404
285580,405
294130,406
302890,407
311870,408
321050,409
330450,410
340080,411
349930,412
360010,413
370320,414
380870,415
391660,416
402690,417
413970,418
425510,419
437300,420
449350,421
461670,422
474250,423
487110,424
500250,425
513670,426
527380,427
541380,428
555670,429
570260,430
585160,431
600360,432
615880,433
631720,434
647870,435
664360,436
681180,437
698330,438
715830,439
733670,440
751860,441
770410,442
789320,443
808590,444
828240,445
848260,446
868660,447
889450,448
910630,449
932200,450
954180,451
976560,452
999360,453
1022600,454
1046200,455
1070300,456
1094800,457
1119700,458
1145100,459
1170900,460
1197200,461
1223900,462
1251100,463
1278800,464
1306900,465
1335600,466
1364700,467
1394300,468
1424500,469
1455100,470
1486200,471
1517900,472
1550100,473
1582800,474
1616000,475
1649800,476
1684100,477
1719000,478
1754500,479
1790500,480
1827100,481
1864200,482
1902000,483
1940300,484
1979200,485
2018800,486
2058900,487
2099700,488
2141100,489
2183100,490
2225700,491
2269000,492
2312900,493
2357500,494
2402800,495
2448700,496
2495300,497
2542600,498
2590500,499
2639200,500
2688600,501
2738600,502
2789400,503
2840900,504
2893100,505
2946100,506
2999800,507
3054300,508
3109500,509
3165500,510
3222300,511
3279800,512
3338100,513
3397200,514
3457100,515
3517900,516
3579400,517
3641700,518
3704900,519
3769000,520
3833800,521
3899500,522
3966100,523
4033600,524
4101900,525
4171100,526
4241200,527
4312200,528
4384100,529
4456900,530
4530600,531
4605200,532
4680800,533
4757400,534
4834900,535
4913300,536
4992700,537
5073100,538
5154500,539
5236900,540
5320300,541
5404700,542
5490100,543
5576500,544
5664000,545
5752500,546
5842100,547
5932700,548
6024400,549
6117200,550
